,id,source_code,source_description,mapPriority,term,target_code,active,conceptActive,target_description,module,definitionStatus,concept
22,355252,K14.0,Glossitis,1,Glossitis caused by oil of cinnamon (disorder),49123007,True,True,Glossitis caused by oil of cinnamon (disorder),900000000000207008,Fully defined,Glossitis
23,294219,K14.0,Glossitis,1,Vitamin B12 deficiency glossitis (disorder),403453004,True,True,Vitamin B12 deficiency glossitis (disorder),900000000000207008,Primitive,Glossitis
24,294219,K14.0,Glossitis,1,Glossitis due to vitamin B12 deficiency,403453004,True,True,Vitamin B12 deficiency glossitis (disorder),900000000000207008,Primitive,Glossitis
25,294218,K14.0,Glossitis,1,Folate deficiency glossitis (disorder),403452009,True,True,Folate deficiency glossitis (disorder),900000000000207008,Primitive,Glossitis
26,30230,K14.1,Geographic tongue,1,On examination - glossitis (disorder),163170007,True,True,On examination - glossitis (disorder),900000000000207008,Primitive,Glossitis
27,30231,K14.2,Median rhomboid glossitis,2,On examination - glossitis (disorder),163170007,True,True,On examination - glossitis (disorder),900000000000207008,Primitive,Glossitis
28,30232,K14.0,Glossitis,3,On examination - glossitis (disorder),163170007,True,True,On examination - glossitis (disorder),900000000000207008,Primitive,Glossitis
29,294220,K14.0,Glossitis,1,Iron deficiency glossitis (disorder),403454005,True,True,Iron deficiency glossitis (disorder),900000000000207008,Fully defined,Glossitis
30,355252,K14.0,Glossitis,1,Glossitis caused by oil of cinnamon,49123007,True,True,Glossitis caused by oil of cinnamon (disorder),900000000000207008,Fully defined,Glossitis
31,294218,K14.0,Glossitis,1,Glossitis due to folate deficiency,403452009,True,True,Folate deficiency glossitis (disorder),900000000000207008,Primitive,Glossitis
32,346004,K14.0,Glossitis,1,Interstitial glossitis (disorder),449773001,True,True,Interstitial glossitis (disorder),900000000000207008,Primitive,Glossitis
33,294219,K14.0,Glossitis,1,Vitamin B12 deficiency glossitis,403453004,True,True,Vitamin B12 deficiency glossitis (disorder),900000000000207008,Primitive,Glossitis
34,355252,K14.0,Glossitis,1,Glossitis due to oil of cinnamon,49123007,True,True,Glossitis caused by oil of cinnamon (disorder),900000000000207008,Fully defined,Glossitis
35,294220,K14.0,Glossitis,1,Glossitis due to iron deficiency,403454005,True,True,Iron deficiency glossitis (disorder),900000000000207008,Fully defined,Glossitis
36,418965,K14.2,Median rhomboid glossitis,1,Superficial midline glossitis,7522008,True,True,Persistent tuberculum impar (disorder),900000000000207008,Primitive,Glossitis
37,368720,K14.1,Geographic tongue,1,Glossitis areata exfoliativa,59032001,True,True,Geographic tongue (disorder),900000000000207008,Primitive,Glossitis
38,418965,K14.2,Median rhomboid glossitis,1,Glossitis rhomboidea mediana,7522008,True,True,Persistent tuberculum impar (disorder),900000000000207008,Primitive,Glossitis
39,8201,K14.0,Glossitis,1,Chronic glossitis (disorder),109808001,True,True,Chronic glossitis (disorder),900000000000207008,Fully defined,Glossitis
40,346007,A52.7,Other symptomatic late syphilis,1,Luetic glossitis (disorder),449776009,True,True,Luetic glossitis (disorder),900000000000207008,Primitive,Glossitis
41,346008,K14.0,Glossitis,1,Luetic glossitis (disorder),449776009,True,True,Luetic glossitis (disorder),900000000000207008,Primitive,Glossitis
42,294218,K14.0,Glossitis,1,Folate deficiency glossitis,403452009,True,True,Folate deficiency glossitis (disorder),900000000000207008,Primitive,Glossitis
43,8200,K14.0,Glossitis,1,Acute glossitis (disorder),109807006,True,True,Acute glossitis (disorder),900000000000207008,Fully defined,Glossitis
44,30230,K14.1,Geographic tongue,1,On examination - glossitis,163170007,True,True,On examination - glossitis (disorder),900000000000207008,Primitive,Glossitis
45,30231,K14.2,Median rhomboid glossitis,2,On examination - glossitis,163170007,True,True,On examination - glossitis (disorder),900000000000207008,Primitive,Glossitis
46,30232,K14.0,Glossitis,3,On examination - glossitis,163170007,True,True,On examination - glossitis (disorder),900000000000207008,Primitive,Glossitis
47,368720,K14.1,Geographic tongue,1,Benign migratory glossitis,59032001,True,True,Geographic tongue (disorder),900000000000207008,Primitive,Glossitis
48,294220,K14.0,Glossitis,1,Iron deficiency glossitis,403454005,True,True,Iron deficiency glossitis (disorder),900000000000207008,Fully defined,Glossitis
49,418965,K14.2,Median rhomboid glossitis,1,Median rhomboid glossitis,7522008,True,True,Persistent tuberculum impar (disorder),900000000000207008,Primitive,Glossitis
50,368720,K14.1,Geographic tongue,1,Glossitis areata migrans,59032001,True,True,Geographic tongue (disorder),900000000000207008,Primitive,Glossitis
51,346004,K14.0,Glossitis,1,Interstitial glossitis,449773001,True,True,Interstitial glossitis (disorder),900000000000207008,Primitive,Glossitis
52,347488,D51.0,deficiency anaemia due to intrinsic factor deficiency,1,Glossitis (disorder),45534005,True,True,Glossitis (disorder),900000000000207008,Fully defined,Glossitis
53,347489,K14.2,Median rhomboid glossitis,2,Glossitis (disorder),45534005,True,True,Glossitis (disorder),900000000000207008,Fully defined,Glossitis
54,347490,K14.1,Geographic tongue,3,Glossitis (disorder),45534005,True,True,Glossitis (disorder),900000000000207008,Fully defined,Glossitis
55,347491,K14.4,Atrophy of tongue papillae,4,Glossitis (disorder),45534005,True,True,Glossitis (disorder),900000000000207008,Fully defined,Glossitis
56,347492,K14.0,Glossitis,5,Glossitis (disorder),45534005,True,True,Glossitis (disorder),900000000000207008,Fully defined,Glossitis
57,347493,E52.X,Niacin deficiency [pellagra] ,1,Glossitis (disorder),45534005,True,True,Glossitis (disorder),900000000000207008,Fully defined,Glossitis
58,347494,K93.8,Disorders of other specified digestive organs in diseases classified elsewhere,1,Glossitis (disorder),45534005,True,True,Glossitis (disorder),900000000000207008,Fully defined,Glossitis
59,347495,K93.8,Disorders of other specified digestive organs in diseases classified elsewhere,1,Glossitis (disorder),45534005,True,True,Glossitis (disorder),900000000000207008,Fully defined,Glossitis
60,347496,E52.X,Niacin deficiency [pellagra] ,1,Glossitis (disorder),45534005,True,True,Glossitis (disorder),900000000000207008,Fully defined,Glossitis
61,449614,K14.0,Glossitis,1,Moeller's glossitis,9491003,True,True,Atrophy of tongue papillae (disorder),900000000000207008,Fully defined,Glossitis
62,449615,K14.6,Glossodynia,2,Moeller's glossitis,9491003,True,True,Atrophy of tongue papillae (disorder),900000000000207008,Fully defined,Glossitis
63,449616,K14.4,Atrophy of tongue papillae,3,Moeller's glossitis,9491003,True,True,Atrophy of tongue papillae (disorder),900000000000207008,Fully defined,Glossitis
64,449614,K14.0,Glossitis,1,Atrophic glossitis,9491003,True,True,Atrophy of tongue papillae (disorder),900000000000207008,Fully defined,Glossitis
65,449615,K14.6,Glossodynia,2,Atrophic glossitis,9491003,True,True,Atrophy of tongue papillae (disorder),900000000000207008,Fully defined,Glossitis
66,449616,K14.4,Atrophy of tongue papillae,3,Atrophic glossitis,9491003,True,True,Atrophy of tongue papillae (disorder),900000000000207008,Fully defined,Glossitis
67,449614,K14.0,Glossitis,1,Hunter's glossitis,9491003,True,True,Atrophy of tongue papillae (disorder),900000000000207008,Fully defined,Glossitis
68,449615,K14.6,Glossodynia,2,Hunter's glossitis,9491003,True,True,Atrophy of tongue papillae (disorder),900000000000207008,Fully defined,Glossitis
69,449616,K14.4,Atrophy of tongue papillae,3,Hunter's glossitis,9491003,True,True,Atrophy of tongue papillae (disorder),900000000000207008,Fully defined,Glossitis
70,8201,K14.0,Glossitis,1,Chronic glossitis,109808001,True,True,Chronic glossitis (disorder),900000000000207008,Fully defined,Glossitis
71,346007,A52.7,Other symptomatic late syphilis,1,Luetic glossitis,449776009,True,True,Luetic glossitis (disorder),900000000000207008,Primitive,Glossitis
72,346008,K14.0,Glossitis,1,Luetic glossitis,449776009,True,True,Luetic glossitis (disorder),900000000000207008,Primitive,Glossitis
73,30230,K14.1,Geographic tongue,1,O/E - glossitis,163170007,True,True,On examination - glossitis (disorder),900000000000207008,Primitive,Glossitis
74,30231,K14.2,Median rhomboid glossitis,2,O/E - glossitis,163170007,True,True,On examination - glossitis (disorder),900000000000207008,Primitive,Glossitis
75,30232,K14.0,Glossitis,3,O/E - glossitis,163170007,True,True,On examination - glossitis (disorder),900000000000207008,Primitive,Glossitis
76,8200,K14.0,Glossitis,1,Acute glossitis,109807006,True,True,Acute glossitis (disorder),900000000000207008,Fully defined,Glossitis
77,347488,D51.0,deficiency anaemia due to intrinsic factor deficiency,1,Glossitis,45534005,True,True,Glossitis (disorder),900000000000207008,Fully defined,Glossitis
78,347489,K14.2,Median rhomboid glossitis,2,Glossitis,45534005,True,True,Glossitis (disorder),900000000000207008,Fully defined,Glossitis
79,347490,K14.1,Geographic tongue,3,Glossitis,45534005,True,True,Glossitis (disorder),900000000000207008,Fully defined,Glossitis
80,347491,K14.4,Atrophy of tongue papillae,4,Glossitis,45534005,True,True,Glossitis (disorder),900000000000207008,Fully defined,Glossitis
81,347492,K14.0,Glossitis,5,Glossitis,45534005,True,True,Glossitis (disorder),900000000000207008,Fully defined,Glossitis
82,347493,E52.X,Niacin deficiency [pellagra] ,1,Glossitis,45534005,True,True,Glossitis (disorder),900000000000207008,Fully defined,Glossitis
83,347494,K93.8,Disorders of other specified digestive organs in diseases classified elsewhere,1,Glossitis,45534005,True,True,Glossitis (disorder),900000000000207008,Fully defined,Glossitis
84,347495,K93.8,Disorders of other specified digestive organs in diseases classified elsewhere,1,Glossitis,45534005,True,True,Glossitis (disorder),900000000000207008,Fully defined,Glossitis
85,347496,E52.X,Niacin deficiency [pellagra] ,1,Glossitis,45534005,True,True,Glossitis (disorder),900000000000207008,Fully defined,Glossitis
86,73799,H05.0,Acute inflammation of orbit,1,Acute inflammation of orbit (disorder),20551005,True,True,Acute inflammation of orbit (disorder),900000000000207008,Fully defined,Acute inflammation of orbit
87,73799,H05.0,Acute inflammation of orbit,1,Acute inflammation of orbit,20551005,True,True,Acute inflammation of orbit (disorder),900000000000207008,Fully defined,Acute inflammation of orbit
88,,,,,Farmers lung antibody level (observable entity),995271000000103,True,True,Farmers lung antibody level (observable entity),999000011000000103,Primitive,Farmer lung
89,,,,,Farmers lung antibody level (procedure),315121007,True,True,Farmers lung antibody level (procedure),900000000000207008,Primitive,Farmer lung
90,,,,,Farmers lung antibody level,995271000000103,True,True,Farmers lung antibody level (observable entity),999000011000000103,Primitive,Farmer lung
91,,,,,Farmers lung antibody level,315121007,True,True,Farmers lung antibody level (procedure),900000000000207008,Primitive,Farmer lung
92,38228,J67.0,Farmer lung,1,Farmers' lung (disorder),18690003,True,True,Farmers' lung (disorder),900000000000207008,Fully defined,Farmer lung
93,38228,J67.0,Farmer lung,1,Farmers' lung disease,18690003,True,True,Farmers' lung (disorder),900000000000207008,Fully defined,Farmer lung
94,38228,J67.0,Farmer lung,1,Farmers' lung,18690003,True,True,Farmers' lung (disorder),900000000000207008,Fully defined,Farmer lung
95,38228,J67.0,Farmer lung,1,Farmers lung,18690003,True,True,Farmers' lung (disorder),900000000000207008,Fully defined,Farmer lung
96,354104,J67.7,Air-conditioner and humidifier lung,1,Air-conditioner and humidifier lung,48347002,True,True,Humidifier lung (disorder),900000000000207008,Primitive,Air-conditioner and humidifier lung
97,23977,J67.3,Suberosis,1,Suberosis (disorder),13394002,True,True,Suberosis (disorder),900000000000207008,Fully defined,Suberosis
98,23977,J67.3,Suberosis,1,Suberosis,13394002,True,True,Suberosis (disorder),900000000000207008,Fully defined,Suberosis
99,393529,J67.2,Bird fancier lung,1,Bird-fanciers' lung (disorder),69339004,True,True,Bird-fanciers' lung (disorder),900000000000207008,Fully defined,Bird fancier lung
100,393529,J67.2,Bird fancier lung,1,BFL - Bird fanciers lung,69339004,True,True,Bird-fanciers' lung (disorder),900000000000207008,Fully defined,Bird fancier lung
101,393529,J67.2,Bird fancier lung,1,Bird fanciers' lung,69339004,True,True,Bird-fanciers' lung (disorder),900000000000207008,Fully defined,Bird fancier lung
102,393529,J67.2,Bird fancier lung,1,Bird-fancier's lung,69339004,True,True,Bird-fanciers' lung (disorder),900000000000207008,Fully defined,Bird fancier lung
103,393529,J67.2,Bird fancier lung,1,Bird-fanciers' lung,69339004,True,True,Bird-fanciers' lung (disorder),900000000000207008,Fully defined,Bird fancier lung
104,393529,J67.2,Bird fancier lung,1,Bird fanciers lung,69339004,True,True,Bird-fanciers' lung (disorder),900000000000207008,Fully defined,Bird fancier lung
105,388658,J67.1,Bagassosis,1,Bagassosis (disorder),67242002,True,True,Bagassosis (disorder),900000000000207008,Fully defined,Bagassosis
106,388658,J67.1,Bagassosis,1,Bagassosis,67242002,True,True,Bagassosis (disorder),900000000000207008,Fully defined,Bagassosis
107,424865,J66.2,Cannabinosis,1,Cannabinosis (disorder),78723001,True,True,Cannabinosis (disorder),900000000000207008,Primitive,Cannabinosis
108,424865,J66.2,Cannabinosis,1,Cannabinosis,78723001,True,True,Cannabinosis (disorder),900000000000207008,Primitive,Cannabinosis
109,115347,J66.0,Byssinosis,1,Byssinosis grade 3 (disorder),233672007,True,True,Byssinosis grade 3 (disorder),900000000000207008,Primitive,Byssinosis
110,432514,J66.0,Byssinosis,1,Byssinosis (disorder),85761009,True,True,Byssinosis (disorder),900000000000207008,Fully defined,Byssinosis
111,115347,J66.0,Byssinosis,1,Byssinosis grade 3,233672007,True,True,Byssinosis grade 3 (disorder),900000000000207008,Primitive,Byssinosis
112,432514,J66.0,Byssinosis,1,Byssinosis,85761009,True,True,Byssinosis (disorder),900000000000207008,Fully defined,Byssinosis
113,413002,Q87.8,"Other specified congenital malformation syndromes, not elsewhere classified",1,Hydrocephalus with endocardial fibroelastosis and cataract syndrome (disorder),721015008,True,True,Hydrocephalus with endocardial fibroelastosis and cataract syndrome (disorder),900000000000207008,Primitive,Endocardial fibroelastosis
114,262201,I42.4,Endocardial fibroelastosis,1,Restrictive cardiomyopathy secondary to endocardial fibroelastosis (disorder),33006007,True,True,Restrictive cardiomyopathy secondary to endocardial fibroelastosis (disorder),900000000000207008,Fully defined,Endocardial fibroelastosis
115,413002,Q87.8,"Other specified congenital malformation syndromes, not elsewhere classified",1,Hydrocephalus with endocardial fibroelastosis and cataract syndrome,721015008,True,True,Hydrocephalus with endocardial fibroelastosis and cataract syndrome (disorder),900000000000207008,Primitive,Endocardial fibroelastosis
116,413002,Q87.8,"Other specified congenital malformation syndromes, not elsewhere classified",1,"HEC (hydrocephalus, endocardial fibroelastosis, cataract) syndrome",721015008,True,True,Hydrocephalus with endocardial fibroelastosis and cataract syndrome (disorder),900000000000207008,Primitive,Endocardial fibroelastosis
117,262201,I42.4,Endocardial fibroelastosis,1,Restrictive cardiomyopathy secondary to endocardial fibroelastosis,33006007,True,True,Restrictive cardiomyopathy secondary to endocardial fibroelastosis (disorder),900000000000207008,Fully defined,Endocardial fibroelastosis
118,147204,I42.4,Endocardial fibroelastosis,1,Primary endocardial fibroelastosis of right ventricle (disorder),253523001,True,True,Primary endocardial fibroelastosis of right ventricle (disorder),900000000000207008,Fully defined,Endocardial fibroelastosis
119,147230,I42.4,Endocardial fibroelastosis,1,Primary endocardial fibroelastosis of left ventricle (disorder),253543007,True,True,Primary endocardial fibroelastosis of left ventricle (disorder),900000000000207008,Fully defined,Endocardial fibroelastosis
120,147204,I42.4,Endocardial fibroelastosis,1,EFE - Primary right ventricular endocardial fibroelastosis,253523001,True,True,Primary endocardial fibroelastosis of right ventricle (disorder),900000000000207008,Fully defined,Endocardial fibroelastosis
121,147230,I42.4,Endocardial fibroelastosis,1,EFE - Primary left ventricular endocardial fibroelastosis,253543007,True,True,Primary endocardial fibroelastosis of left ventricle (disorder),900000000000207008,Fully defined,Endocardial fibroelastosis
122,147204,I42.4,Endocardial fibroelastosis,1,Primary endocardial fibroelastosis of right ventricle,253523001,True,True,Primary endocardial fibroelastosis of right ventricle (disorder),900000000000207008,Fully defined,Endocardial fibroelastosis
123,146920,I42.4,Endocardial fibroelastosis,1,Endocardial fibroelastosis of right atrium (disorder),253348002,True,True,Endocardial fibroelastosis of right atrium (disorder),900000000000207008,Fully defined,Endocardial fibroelastosis
124,147204,I42.4,Endocardial fibroelastosis,1,Primary right ventricular endocardial fibroelastosis,253523001,True,True,Primary endocardial fibroelastosis of right ventricle (disorder),900000000000207008,Fully defined,Endocardial fibroelastosis
125,147230,I42.4,Endocardial fibroelastosis,1,Primary endocardial fibroelastosis of left ventricle,253543007,True,True,Primary endocardial fibroelastosis of left ventricle (disorder),900000000000207008,Fully defined,Endocardial fibroelastosis
126,146937,I42.4,Endocardial fibroelastosis,1,Endocardial fibroelastosis of left atrium (disorder),253359006,True,True,Endocardial fibroelastosis of left atrium (disorder),900000000000207008,Fully defined,Endocardial fibroelastosis
127,147230,I42.4,Endocardial fibroelastosis,1,Primary left ventricular endocardial fibroelastosis,253543007,True,True,Primary endocardial fibroelastosis of left ventricle (disorder),900000000000207008,Fully defined,Endocardial fibroelastosis
128,2009787,I42.4,Endocardial fibroelastosis,1,Congenital endocardial fibroelastosis (disorder),1141882007,True,True,Congenital endocardial fibroelastosis (disorder),900000000000207008,Fully defined,Endocardial fibroelastosis
129,428755,I42.4,Endocardial fibroelastosis,1,Primary endocardial fibroelastosis (disorder),8239009,True,True,Primary endocardial fibroelastosis (disorder),900000000000207008,Primitive,Endocardial fibroelastosis
130,146920,I42.4,Endocardial fibroelastosis,1,Endocardial fibroelastosis of right atrium,253348002,True,True,Endocardial fibroelastosis of right atrium (disorder),900000000000207008,Fully defined,Endocardial fibroelastosis
131,146937,I42.4,Endocardial fibroelastosis,1,Endocardial fibroelastosis of left atrium,253359006,True,True,Endocardial fibroelastosis of left atrium (disorder),900000000000207008,Fully defined,Endocardial fibroelastosis
132,146920,I42.4,Endocardial fibroelastosis,1,Right atrial endocardial fibroelastosis,253348002,True,True,Endocardial fibroelastosis of right atrium (disorder),900000000000207008,Fully defined,Endocardial fibroelastosis
133,146937,I42.4,Endocardial fibroelastosis,1,Left atrial endocardial fibroelastosis,253359006,True,True,Endocardial fibroelastosis of left atrium (disorder),900000000000207008,Fully defined,Endocardial fibroelastosis
134,2009787,I42.4,Endocardial fibroelastosis,1,Congenital endocardial fibroelastosis,1141882007,True,True,Congenital endocardial fibroelastosis (disorder),900000000000207008,Fully defined,Endocardial fibroelastosis
135,383828,I42.4,Endocardial fibroelastosis,1,Endocardial fibroelastosis (disorder),65457005,True,True,Endocardial fibroelastosis (disorder),900000000000207008,Fully defined,Endocardial fibroelastosis
136,428755,I42.4,Endocardial fibroelastosis,1,Isolated endocardial fibroelastosis,8239009,True,True,Primary endocardial fibroelastosis (disorder),900000000000207008,Primitive,Endocardial fibroelastosis
137,428755,I42.4,Endocardial fibroelastosis,1,Primary endocardial fibroelastosis,8239009,True,True,Primary endocardial fibroelastosis (disorder),900000000000207008,Primitive,Endocardial fibroelastosis
138,383828,I42.4,Endocardial fibroelastosis,1,EFE - Endocardial fibroelastosis,65457005,True,True,Endocardial fibroelastosis (disorder),900000000000207008,Fully defined,Endocardial fibroelastosis
139,383828,I42.4,Endocardial fibroelastosis,1,Endocardial fibroelastosis,65457005,True,True,Endocardial fibroelastosis (disorder),900000000000207008,Fully defined,Endocardial fibroelastosis
140,10191,E88.9,"Metabolic disorder, unspecified",1,Dilated cardiomyopathy due to metabolic disorder,111285003,True,True,Dilated cardiomyopathy due to metabolic disorder (disorder),900000000000207008,Fully defined,Dilated cardiomyopathy
141,10192,I43.1,Cardiomyopathy in metabolic diseases,1,Dilated cardiomyopathy due to metabolic disorder,111285003,True,True,Dilated cardiomyopathy due to metabolic disorder (disorder),900000000000207008,Fully defined,Dilated cardiomyopathy
142,10193,I43.1,Cardiomyopathy in metabolic diseases,1,Dilated cardiomyopathy due to metabolic disorder,111285003,True,True,Dilated cardiomyopathy due to metabolic disorder (disorder),900000000000207008,Fully defined,Dilated cardiomyopathy
143,10194,E88.9,"Metabolic disorder, unspecified",1,Dilated cardiomyopathy due to metabolic disorder,111285003,True,True,Dilated cardiomyopathy due to metabolic disorder (disorder),900000000000207008,Fully defined,Dilated cardiomyopathy
144,433117,I42.0,Dilated cardiomyopathy,1,Dilated cardiomyopathy due to infectious disease,86194008,True,True,Dilated cardiomyopathy due to infectious disease (disorder),900000000000207008,Fully defined,Dilated cardiomyopathy
145,1491821,O90.3,Cardiomyopathy in the puerperium,1,Dilated cardiomyopathy due to muscular dystrophy,28869005,True,True,Dilated cardiomyopathy due to muscular dystrophy (disorder),900000000000207008,Fully defined,Dilated cardiomyopathy
146,1491822,I42.0,Dilated cardiomyopathy,2,Dilated cardiomyopathy due to muscular dystrophy,28869005,True,True,Dilated cardiomyopathy due to muscular dystrophy (disorder),900000000000207008,Fully defined,Dilated cardiomyopathy
147,1491823,G71.0,Muscular dystrophy,1,Dilated cardiomyopathy due to muscular dystrophy,28869005,True,True,Dilated cardiomyopathy due to muscular dystrophy (disorder),900000000000207008,Fully defined,Dilated cardiomyopathy
148,1491818,O99.4,"Diseases of the circulatory system complicating pregnancy, childbirth and the puerperium",1,Dilated cardiomyopathy due to muscular dystrophy,28869005,True,True,Dilated cardiomyopathy due to muscular dystrophy (disorder),900000000000207008,Fully defined,Dilated cardiomyopathy
149,1491819,I42.0,Dilated cardiomyopathy,1,Dilated cardiomyopathy due to muscular dystrophy,28869005,True,True,Dilated cardiomyopathy due to muscular dystrophy (disorder),900000000000207008,Fully defined,Dilated cardiomyopathy
150,1491820,G71.0,Muscular dystrophy,1,Dilated cardiomyopathy due to muscular dystrophy,28869005,True,True,Dilated cardiomyopathy due to muscular dystrophy (disorder),900000000000207008,Fully defined,Dilated cardiomyopathy
151,416637,I42.7,Cardiomyopathy due to drugs and other external agents,1,Dilated cardiomyopathy caused by drug (disorder),72972005,True,True,Dilated cardiomyopathy caused by drug (disorder),900000000000207008,Fully defined,Dilated cardiomyopathy
152,1485895,M34.9,"Systemic sclerosis, unspecified",1,Dilated cardiomyopathy due to systemic sclerosis,35719004,True,True,Dilated cardiomyopathy due to systemic sclerosis (disorder),900000000000207008,Fully defined,Dilated cardiomyopathy
153,1485896,I43.8,Cardiomyopathy in other diseases classified elsewhere,1,Dilated cardiomyopathy due to systemic sclerosis,35719004,True,True,Dilated cardiomyopathy due to systemic sclerosis (disorder),900000000000207008,Fully defined,Dilated cardiomyopathy
154,1485893,I43.8,Cardiomyopathy in other diseases classified elsewhere,1,Dilated cardiomyopathy due to systemic sclerosis,35719004,True,True,Dilated cardiomyopathy due to systemic sclerosis (disorder),900000000000207008,Fully defined,Dilated cardiomyopathy
155,1485894,M34.9,"Systemic sclerosis, unspecified",1,Dilated cardiomyopathy due to systemic sclerosis,35719004,True,True,Dilated cardiomyopathy due to systemic sclerosis (disorder),900000000000207008,Fully defined,Dilated cardiomyopathy
156,303221,E72.8,Other specified disorders of amino-acid metabolism,1,Dilated cardiomyopathy due to taurine deficiency,413995009,True,True,Dilated cardiomyopathy due to taurine deficiency (disorder),900000000000207008,Fully defined,Dilated cardiomyopathy
157,303222,I42.0,Dilated cardiomyopathy,1,Dilated cardiomyopathy due to taurine deficiency,413995009,True,True,Dilated cardiomyopathy due to taurine deficiency (disorder),900000000000207008,Fully defined,Dilated cardiomyopathy
158,250695,I40.0,Infective myocarditis,1,Dilated cardiomyopathy due to viral myocarditis,30496006,True,True,Dilated cardiomyopathy due to viral myocarditis (disorder),900000000000207008,Fully defined,Dilated cardiomyopathy
159,357235,G11.1,Early-onset cerebellar ataxia,1,Dilated cardiomyopathy due to Friedreich ataxia,50270004,True,True,Dilated cardiomyopathy due to Friedreich's ataxia (disorder),900000000000207008,Fully defined,Dilated cardiomyopathy
