,_id,isLeafInferred,isLeafStated,conceptId,defaultTerm,definitionStatus,active,module
18,63866b2b081b3c130f5ce660,False,True,210611002,Traumatic amputation of thumb (disorder),Fully defined,True,900000000000207008
19,63866b2b081b3c130f5ce743,True,True,210604001,Degloving injury of thumb (disorder),Fully defined,True,900000000000207008
20,63866b2b081b3c130f5ce7e7,True,True,414875008,Nonexudative age-related macular degeneration (disorder),Primitive,True,900000000000207008
21,63866b2b081b3c130f5ce891,False,True,9389005,Herpes simplex keratitis (disorder),Fully defined,True,900000000000207008
22,63866b2b081b3c130f5cea78,False,True,4855003,Retinopathy due to diabetes mellitus (disorder),Fully defined,True,900000000000207008
23,63866b2b081b3c130f5ced23,False,True,4834000,Typhoid fever (disorder),Fully defined,True,900000000000207008
24,63866b2e081b3c130f5cfa01,False,True,210597009,Degloving injury of finger (disorder),Fully defined,True,900000000000207008
25,63866b2e081b3c130f5cfbe0,False,True,210571003,Degloving injury of hand (disorder),Fully defined,True,900000000000207008
26,63866b2e081b3c130f5cfdca,True,True,210553005,"Degloving injury, forearm (disorder)",Fully defined,True,900000000000207008
27,63866b2f081b3c130f5d0351,False,True,9707006,Intestinal volvulus (disorder),Fully defined,True,900000000000207008
28,63866b30081b3c130f5d062b,False,True,9713002,Prostatitis (disorder),Fully defined,True,900000000000207008
29,63866b30081b3c130f5d075d,False,True,210987008,Abrasion of face (disorder),Fully defined,True,900000000000207008
30,63866b30081b3c130f5d07ac,False,True,210989006,Abrasion of scalp (disorder),Fully defined,True,900000000000207008
31,63866b31081b3c130f5d0d92,False,True,202882003,Plantar fasciitis (disorder),Fully defined,True,900000000000207008
32,63866b31081b3c130f5d0f12,False,True,10380004,Crushing injury of finger (disorder),Fully defined,True,900000000000207008
33,63866b33081b3c130f5d18ac,False,True,31054009,Ureteric stone (disorder),Fully defined,True,900000000000207008
34,63866b33081b3c130f5d19e2,False,True,309465005,Varicella-zoster virus infection (disorder),Fully defined,True,900000000000207008
35,63866b33081b3c130f5d1dbf,False,True,419603000,Epidermoid cyst of skin (disorder),Fully defined,True,900000000000207008
36,63866b33081b3c130f5d1eed,False,True,9631008,Ankylosing spondylitis (disorder),Primitive,True,900000000000207008
37,63866b34081b3c130f5d20e9,False,True,419639006,Poisoning caused by anti-infective agent (disorder),Fully defined,True,900000000000207008
38,63866b34081b3c130f5d2156,False,True,427793007,Complication of urinary catheter (disorder),Fully defined,True,900000000000207008
39,63866b34081b3c130f5d21b4,False,True,9651007,Long QT syndrome (disorder),Primitive,True,900000000000207008
40,63866b34081b3c130f5d23d0,False,True,448447004,Non-Hodgkin's lymphoma of skin (disorder),Fully defined,True,900000000000207008
41,63866b35081b3c130f5d2837,True,True,443980004,Neutropenic sepsis (disorder),Fully defined,True,900000000000207008
42,63866b37081b3c130f5d3a77,False,True,236037000,Incisional hernia (disorder),Fully defined,True,900000000000207008
43,63866b38081b3c130f5d3cde,False,True,312956001,Central serous chorioretinopathy (disorder),Primitive,True,900000000000207008
44,63866b38081b3c130f5d3d4e,False,True,312912001,Macular edema due to diabetes mellitus (disorder),Fully defined,True,900000000000207008
45,63866b38081b3c130f5d3d8a,False,True,236069009,Chronic constipation (disorder),Fully defined,True,900000000000207008
46,63866b38081b3c130f5d4097,False,True,252246005,Pseudoxanthoma elasticum (disorder),Primitive,True,900000000000207008
47,63866b39081b3c130f5d465d,False,True,236407003,Immunoglobulin A nephropathy (disorder),Fully defined,True,900000000000207008
48,63866b39081b3c130f5d48a1,False,True,60168000,Osteomyelitis (disorder),Fully defined,True,900000000000207008
49,63866b3a081b3c130f5d5036,True,True,231995008,Myopic chorioretinal atrophy (disorder),Primitive,True,900000000000207008
50,63866b3a081b3c130f5d5095,False,True,396275006,Osteoarthritis (disorder),Fully defined,True,900000000000207008
51,63866b3a081b3c130f5d5162,False,True,281503004,Dislocation of carpometacarpal joint (disorder),Fully defined,True,900000000000207008
52,63866b3b081b3c130f5d5590,False,True,419952004,Dermoid cyst (disorder),Fully defined,True,900000000000207008
53,63866b3b081b3c130f5d55f6,False,True,396230008,Dermatomyositis (disorder),Primitive,True,900000000000207008
54,63866b3b081b3c130f5d5626,False,True,396234004,Infective arthritis (disorder),Fully defined,True,900000000000207008
55,63866b3b081b3c130f5d5633,False,True,396232000,Inguinal hernia (disorder),Fully defined,True,900000000000207008
56,63866b3b081b3c130f5d564f,False,True,60190000,Injury of blood vessels of thorax (disorder),Fully defined,True,900000000000207008
57,63866b3c081b3c130f5d5749,False,True,52072009,Heat stroke (disorder),Fully defined,True,900000000000207008
58,63866b3c081b3c130f5d5db7,True,True,15013002,Vitreous floaters (disorder),Primitive,True,900000000000207008
59,63866b3d081b3c130f5d60f7,False,True,231893002,Bacterial corneal ulcer (disorder),Fully defined,True,900000000000207008
60,63866b3f081b3c130f5d6b89,False,True,15033003,Peritonsillar abscess (disorder),Fully defined,True,900000000000207008
61,63866b3f081b3c130f5d6e1c,False,True,367363000,Right ventricular failure (disorder),Fully defined,True,900000000000207008
62,63866b3f081b3c130f5d717e,False,True,427928003,Disorder related to lung transplantation (disorder),Fully defined,True,900000000000207008
63,63866b41081b3c130f5d79de,False,True,231866000,Conjunctival foreign body (disorder),Fully defined,True,900000000000207008
64,63866b41081b3c130f5d7d70,False,True,231857004,Giant papillary conjunctivitis (disorder),Primitive,True,900000000000207008
65,63866b42081b3c130f5d7eae,False,True,231816006,Laceration of eyelid (disorder),Fully defined,True,900000000000207008
66,63866b42081b3c130f5d808b,False,True,60046008,Pleural effusion (disorder),Fully defined,True,900000000000207008
67,63866b44081b3c130f5d91b5,False,True,23056005,Sciatica (disorder),Primitive,True,900000000000207008
68,63866b46081b3c130f5d9eca,False,True,31541009,Sarcoidosis (disorder),Fully defined,True,900000000000207008
69,63866b47081b3c130f5da21c,False,True,36083008,Sick sinus syndrome (disorder),Primitive,True,900000000000207008
70,63866b47081b3c130f5da345,False,True,126485001,Urticaria (disorder),Fully defined,True,900000000000207008
71,63866b47081b3c130f5da6d8,False,True,367649002,Epiretinal membrane (disorder),Fully defined,True,900000000000207008
72,63866b48081b3c130f5dada0,False,True,10743008,Irritable bowel syndrome (disorder),Primitive,True,900000000000207008
73,63866b48081b3c130f5daea3,False,True,23387001,Perforation of esophagus (disorder),Fully defined,True,900000000000207008
74,63866b49081b3c130f5db3b0,False,True,81060008,Intestinal obstruction (disorder),Fully defined,True,900000000000207008
75,63866b4a081b3c130f5db71c,False,True,60332004,Trichiasis (disorder),Fully defined,True,900000000000207008
76,63866b4a081b3c130f5dbbc1,False,True,60380001,Narcolepsy (disorder),Primitive,True,900000000000207008
77,63866b4b081b3c130f5dbf4c,False,True,52254009,Nephrotic syndrome (disorder),Fully defined,True,900000000000207008
78,63866b4c081b3c130f5dc4a5,False,True,44054006,Diabetes mellitus type 2 (disorder),Primitive,True,900000000000207008
79,63866b4c081b3c130f5dc751,False,True,396334002,Infection caused by Dracunculus medinensis (disorder),Fully defined,True,900000000000207008
80,63866b4c081b3c130f5dc884,False,True,396347007,Umbilical hernia (disorder),Fully defined,True,900000000000207008
81,63866b4d081b3c130f5dce41,False,True,367527001,Open fracture of foot (disorder),Fully defined,True,900000000000207008
82,63866b4e081b3c130f5dd082,False,True,81004002,Leprosy (disorder),Fully defined,True,900000000000207008
83,63866b4e081b3c130f5dd0e0,False,True,105629000,Chlamydial infection (disorder),Fully defined,True,900000000000207008
84,63866b4e081b3c130f5dd6b6,False,True,31384009,Polymyositis (disorder),Primitive,True,900000000000207008
85,63866b4e081b3c130f5dd773,False,True,309779001,Meibomianitis (disorder),Fully defined,True,900000000000207008
86,63866b4f081b3c130f5dd795,False,True,309773000,Complication of gastrostomy (disorder),Fully defined,True,900000000000207008
87,63866b4f081b3c130f5dd83b,False,True,367403001,Pyloric stenosis (disorder),Fully defined,True,900000000000207008
88,63866b4f081b3c130f5dda31,False,True,362969004,Disorder of endocrine system (disorder),Fully defined,True,900000000000207008
89,63866b55081b3c130f5de163,False,True,367498001,Seasonal allergic rhinitis (disorder),Fully defined,True,900000000000207008
90,63866b55081b3c130f5de29c,False,True,367494004,Premature birth of newborn (finding),Primitive,True,900000000000207008
91,63866b55081b3c130f5de2e6,False,True,10679007,Infection caused by Giardia lamblia (disorder),Fully defined,True,900000000000207008
92,63866b57081b3c130f5de824,False,True,126675008,Neoplasm of accessory sinus (disorder),Fully defined,True,900000000000207008
93,63866b57081b3c130f5de97f,False,True,126680004,Neoplasm of nasopharynx (disorder),Fully defined,True,900000000000207008
94,63866b58081b3c130f5deb9d,False,True,126669004,Neoplasm of nose (disorder),Fully defined,True,900000000000207008
95,63866b58081b3c130f5decb4,False,True,44376007,Dissociative disorder (disorder),Primitive,True,900000000000207008
96,63866b58081b3c130f5deea1,False,True,126632002,Neoplasm of face (disorder),Fully defined,True,900000000000207008
97,63866b58081b3c130f5deea6,False,True,281900007,No abnormality detected (finding),Primitive,True,900000000000207008
98,63866b59081b3c130f5def69,False,True,126609001,Neoplasm of soft tissues of thorax (disorder),Fully defined,True,900000000000207008
99,63866b59081b3c130f5df005,False,True,52486002,Necrotizing fasciitis (disorder),Fully defined,True,900000000000207008
100,63866b59081b3c130f5df0e7,False,True,126611005,Neoplasm of soft tissues of abdomen (disorder),Fully defined,True,900000000000207008
101,63866b59081b3c130f5df158,False,True,126616000,Neoplasm of muscle (disorder),Fully defined,True,900000000000207008
102,63866b59081b3c130f5df4c2,False,True,52448006,Dementia (disorder),Primitive,True,900000000000207008
103,63866b5a081b3c130f5df8e8,False,True,52405000,Burn of trunk (disorder),Fully defined,True,900000000000207008
104,63866b5a081b3c130f5df90b,False,True,52404001,Mastoiditis (disorder),Fully defined,True,900000000000207008
105,63866b5a081b3c130f5dfafd,False,True,44400004,Toxic effect of venom (disorder),Fully defined,True,900000000000207008
106,63866b5a081b3c130f5dfc54,False,True,60667009,Closed fracture of rib (disorder),Fully defined,True,900000000000207008
107,63866b5a081b3c130f5dfcbd,False,True,52522001,Degenerative brain disorder (disorder),Fully defined,True,900000000000207008
108,63866b5a081b3c130f5dfdbe,False,True,73297009,Muscular dystrophy (disorder),Fully defined,True,900000000000207008
109,63866b5b081b3c130f5dfeda,False,True,57005003,Poisoning caused by caffeine (disorder),Fully defined,True,900000000000207008
110,63866b5c081b3c130f5e02c5,False,True,711168000,Ulcer of skin of lower extremity (disorder),Fully defined,True,900000000000207008
111,63866b5c081b3c130f5e05c5,False,True,73221001,Optic papillitis (disorder),Fully defined,True,900000000000207008
112,63866b5c081b3c130f5e0922,False,True,118599009,Hodgkin's disease (disorder),Fully defined,True,900000000000207008
113,63866b5c081b3c130f5e09de,True,True,28189009,Mobitz type II atrioventricular block (disorder),Primitive,True,900000000000207008
114,63866b5c081b3c130f5e0a2f,False,True,23680005,Enthesopathy (disorder),Fully defined,True,900000000000207008
115,63866b5d081b3c130f5e0c5b,False,True,126692004,Neoplasm of larynx (disorder),Fully defined,True,900000000000207008
116,63866b5d081b3c130f5e1031,False,True,44264009,Traumatic dislocation of joint of cervical vertebra (disorder),Fully defined,True,900000000000207008
117,63866b5d081b3c130f5e105b,False,True,44268007,Retinoschisis (disorder),Fully defined,True,900000000000207008
118,63866b5d081b3c130f5e10be,False,True,126537000,Neoplasm of bone (disorder),Fully defined,True,900000000000207008
119,63866b5e081b3c130f5e138d,True,True,249389002,Split frenulum of tongue (finding),Primitive,True,900000000000207008
120,63866b5e081b3c130f5e14a5,False,True,44223004,Premature rupture of membranes (disorder),Primitive,True,900000000000207008
121,63866b5f081b3c130f5e1a09,False,True,249366005,Bleeding from nose (finding),Fully defined,True,900000000000207008
122,63866b5f081b3c130f5e1ad5,False,True,1148734002,Poisoning caused by acetylcholine receptor antagonist (disorder),Fully defined,True,900000000000207008
123,63866b5f081b3c130f5e1ade,False,True,1148733008,Iron and/or iron compound overdose (disorder),Fully defined,True,900000000000207008
124,63866b60081b3c130f5e23f6,False,True,15474008,Open fracture of pelvis (disorder),Fully defined,True,900000000000207008
125,63866b61081b3c130f5e296a,False,True,207957008,Closed fracture lumbar vertebra (disorder),Fully defined,True,900000000000207008
126,63866b62081b3c130f5e2b2b,False,True,207949005,Open fracture thoracic vertebra (disorder),Fully defined,True,900000000000207008
127,63866b62081b3c130f5e2bfe,False,True,207974008,Closed fracture sacrum (disorder),Fully defined,True,900000000000207008
128,63866b62081b3c130f5e2c24,False,True,207977001,Open fracture sacrum (disorder),Fully defined,True,900000000000207008
129,63866b62081b3c130f5e2cf1,False,True,23589004,Injury of spleen (disorder),Fully defined,True,900000000000207008
130,63866b62081b3c130f5e2d7e,False,True,207965006,Open fracture lumbar vertebra (disorder),Fully defined,True,900000000000207008
131,63866b62081b3c130f5e2f6a,False,True,23511006,Meningococcal infectious disease (disorder),Fully defined,True,900000000000207008
132,63866b63081b3c130f5e3240,False,True,31681005,Trigeminal neuralgia (disorder),Primitive,True,900000000000207008
133,63866b63081b3c130f5e32c7,False,True,207938004,Closed fracture thoracic vertebra (disorder),Fully defined,True,900000000000207008
134,63866b63081b3c130f5e32d5,False,True,36171008,Glomerulonephritis (disorder),Fully defined,True,900000000000207008
135,63866b63081b3c130f5e3721,True,True,86014007,Trifascicular block (disorder),Primitive,True,900000000000207008
136,63866b63081b3c130f5e390d,False,True,81576005,Closed fracture of phalanx of foot (disorder),Fully defined,True,900000000000207008
137,63866b64081b3c130f5e39cd,False,True,73442001,Stevens-Johnson syndrome (disorder),Primitive,True,900000000000207008
138,63866b65081b3c130f5e3dee,False,True,126849006,Neoplasm of anus (disorder),Fully defined,True,900000000000207008
139,63866b65081b3c130f5e3e05,False,True,126847008,Neoplasm of rectum (disorder),Fully defined,True,900000000000207008
140,63866b65081b3c130f5e3f29,False,True,126859007,Neoplasm of pancreas (disorder),Fully defined,True,900000000000207008
141,63866b65081b3c130f5e3ff7,False,True,126851005,Neoplasm of liver (disorder),Fully defined,True,900000000000207008
142,63866b65081b3c130f5e400c,False,True,126853008,Neoplasm of biliary tract (disorder),Fully defined,True,900000000000207008
143,63866b65081b3c130f5e40d4,False,True,126824007,Neoplasm of stomach (disorder),Fully defined,True,900000000000207008
144,63866b65081b3c130f5e4119,False,True,126817006,Neoplasm of esophagus (disorder),Fully defined,True,900000000000207008
145,63866b65081b3c130f5e416f,False,True,126832004,Neoplasm of small intestine (disorder),Fully defined,True,900000000000207008
146,63866b65081b3c130f5e41e8,False,True,126837005,Neoplasm of large intestine (disorder),Fully defined,True,900000000000207008
147,63866b65081b3c130f5e42ed,False,True,31996006,Vasculitis (disorder),Fully defined,True,900000000000207008
148,63866b65081b3c130f5e4395,False,True,126885006,Neoplasm of bladder (disorder),Fully defined,True,900000000000207008
149,63866b65081b3c130f5e439c,False,True,126882009,Neoplasm of ureter (disorder),Fully defined,True,900000000000207008
150,63866b65081b3c130f5e43ab,False,True,126883004,Neoplasm of urethra (disorder),Fully defined,True,900000000000207008
151,63866b65081b3c130f5e44b8,False,True,126896003,Neoplasm of penis (disorder),Fully defined,True,900000000000207008
152,63866b66081b3c130f5e4652,False,True,126880001,Neoplasm of kidney (disorder),Fully defined,True,900000000000207008
153,63866b66081b3c130f5e46fa,False,True,278516003,Lobar pneumonia (disorder),Fully defined,True,900000000000207008
154,63866b66081b3c130f5e47f7,False,True,126916003,Neoplasm of fallopian tube (disorder),Fully defined,True,900000000000207008
155,63866b66081b3c130f5e488b,False,True,126900000,Neoplasm of testis (disorder),Fully defined,True,900000000000207008
156,63866b67081b3c130f5e48ca,False,True,126906006,Neoplasm of prostate (disorder),Fully defined,True,900000000000207008
157,63866b67081b3c130f5e48d9,False,True,126908007,Neoplasm of uterus (disorder),Fully defined,True,900000000000207008
158,63866b67081b3c130f5e48ee,False,True,126905005,Neoplasm of scrotum (disorder),Fully defined,True,900000000000207008
159,63866b67081b3c130f5e4ae8,False,True,52767006,Neonatal hypoglycemia (disorder),Fully defined,True,900000000000207008
160,63866b67081b3c130f5e4c7b,True,True,28438004,Gonococcal conjunctivitis neonatorum (disorder),Fully defined,True,900000000000207008
161,63866b67081b3c130f5e4c98,False,True,126965008,Neoplasm of meninges (disorder),Fully defined,True,900000000000207008
162,63866b67081b3c130f5e4c99,False,True,126966009,Neoplasm of cranial nerve (disorder),Fully defined,True,900000000000207008
163,63866b67081b3c130f5e4cba,False,True,126962006,Neoplasm of spinal cord (disorder),Fully defined,True,900000000000207008
164,63866b67081b3c130f5e4cd1,False,True,126960003,Neoplasm of cerebellum (disorder),Fully defined,True,900000000000207008
165,63866b67081b3c130f5e4dca,False,True,126952004,Neoplasm of brain (disorder),Fully defined,True,900000000000207008
166,63866b67081b3c130f5e4de9,False,True,23919004,Labyrinthitis (disorder),Fully defined,True,900000000000207008
167,63866b67081b3c130f5e4f81,False,True,126921000,Neoplasm of vagina (disorder),Fully defined,True,900000000000207008
168,63866b67081b3c130f5e4f87,False,True,126922007,Neoplasm of vulva (disorder),Fully defined,True,900000000000207008
169,63866b67081b3c130f5e4fab,False,True,126926005,Neoplasm of breast (disorder),Fully defined,True,900000000000207008
170,63866b68081b3c130f5e525c,False,True,57207003,Bullous keratopathy (disorder),Primitive,True,900000000000207008
171,63866b68081b3c130f5e550b,False,True,60897004,Contusion of nose (disorder),Fully defined,True,900000000000207008
172,63866b68081b3c130f5e584f,False,True,65363002,Otitis media (disorder),Fully defined,True,900000000000207008
173,63866b6a081b3c130f5e5cdb,False,True,126797001,Neoplasm of mouth (disorder),Fully defined,True,900000000000207008
174,63866b6a081b3c130f5e5dc4,False,True,15628003,Gonorrhea (disorder),Fully defined,True,900000000000207008
175,63866b6a081b3c130f5e5f6e,False,True,359817006,Closed fracture of hip (disorder),Fully defined,True,900000000000207008
176,63866b6a081b3c130f5e5f92,True,True,359814004,Monkeypox (disorder),Primitive,True,900000000000207008
177,63866b6b081b3c130f5e6543,False,True,126705004,Neoplasm of bronchus (disorder),Fully defined,True,900000000000207008
178,63866b6b081b3c130f5e65ce,False,True,126703006,Neoplasm of trachea (disorder),Fully defined,True,900000000000207008
179,63866b6b081b3c130f5e66a7,False,True,126713003,Neoplasm of lung (disorder),Fully defined,True,900000000000207008
180,63866b6b081b3c130f5e66e6,False,True,44465007,Sprain of ankle (disorder),Fully defined,True,900000000000207008
181,63866b6b081b3c130f5e6710,False,True,126719004,Neoplasm of pleura (disorder),Fully defined,True,900000000000207008
182,63866b6b081b3c130f5e69d9,False,True,126736007,Neoplasm of blood vessel (disorder),Fully defined,True,900000000000207008
183,63866b6b081b3c130f5e6aa4,False,True,118601006,Non-Hodgkin's lymphoma (disorder),Fully defined,True,900000000000207008
184,63866b6c081b3c130f5e6c2b,False,True,60750009,Third cranial nerve disease (disorder),Fully defined,True,900000000000207008
185,63866b6c081b3c130f5e6e5a,False,True,57143002,Burn of shoulder (disorder),Fully defined,True,900000000000207008
186,63866b6c081b3c130f5e7178,False,True,126809003,Neoplasm of oropharynx (disorder),Fully defined,True,900000000000207008
187,63866b6e081b3c130f5e79a1,False,True,60713008,Burn of neck (disorder),Fully defined,True,900000000000207008
188,63866b6e081b3c130f5e7efc,False,True,78144005,Pulmonary hemorrhage (disorder),Fully defined,True,900000000000207008
189,63866b6f081b3c130f5e7fbb,False,True,86279000,Acute suppurative otitis media with spontaneous rupture of ear drum (disorder),Fully defined,True,900000000000207008
190,63866b6f081b3c130f5e833c,True,True,184770004,Miscellaneous certificate request (finding),Primitive,True,900000000000207008
191,63866b70081b3c130f5e87ea,False,True,44808001,Conduction disorder of the heart (disorder),Primitive,True,900000000000207008
192,63866b70081b3c130f5e8bd2,True,True,57406009,Carpal tunnel syndrome (disorder),Fully defined,True,900000000000207008
193,63866b70081b3c130f5e8df8,False,True,197456007,Acute pancreatitis (disorder),Fully defined,True,900000000000207008
194,63866b70081b3c130f5e8e30,False,True,28651003,Orthostatic hypotension (disorder),Primitive,True,900000000000207008
195,63866b71081b3c130f5e8f13,False,True,44897000,Mesenteric lymphadenitis (disorder),Fully defined,True,900000000000207008
196,63866b71081b3c130f5e91b8,False,True,49388007,Sprain of foot (disorder),Fully defined,True,900000000000207008
197,63866b71081b3c130f5e9250,False,True,44882003,Balanitis (disorder),Fully defined,True,900000000000207008
198,63866b72081b3c130f5e9357,False,True,36715001,Erythema multiforme (disorder),Primitive,True,900000000000207008
199,63866b72081b3c130f5e9567,False,True,711645008,Corneal ulcer caused by Acanthamoeba (disorder),Fully defined,True,900000000000207008
200,63866b72081b3c130f5e990f,False,True,81808003,Hemarthrosis (disorder),Fully defined,True,900000000000207008
201,63866b73081b3c130f5e9bad,False,True,197480006,Anxiety disorder (disorder),Primitive,True,900000000000207008
202,63866b73081b3c130f5e9c64,False,True,192970008,Cauda equina syndrome (disorder),Fully defined,True,900000000000207008
203,63866b73081b3c130f5e9e9d,True,True,15845006,Buruli ulcer (disorder),Fully defined,True,900000000000207008
204,63866b73081b3c130f5ea051,True,True,81639003,Closed fracture of nasal bones (disorder),Fully defined,True,900000000000207008
205,63866b73081b3c130f5ea10f,False,True,78011002,Flail chest (disorder),Primitive,True,900000000000207008
206,63866b73081b3c130f5ea152,False,True,126980002,Neoplasm of peripheral nerve (disorder),Fully defined,True,900000000000207008
207,63866b74081b3c130f5ea360,False,True,126979000,Neoplasm of autonomic nerve (disorder),Fully defined,True,900000000000207008
208,63866b74081b3c130f5ea949,False,True,73590005,Injury of peripheral nerve (disorder),Fully defined,True,900000000000207008
209,63866b75081b3c130f5eaa75,False,True,78048006,Candidiasis (disorder),Fully defined,True,900000000000207008
210,63866b75081b3c130f5eab73,False,True,86175003,Injury of heart (disorder),Fully defined,True,900000000000207008
211,63866b75081b3c130f5ead91,False,True,86196005,Disorder of breast associated with childbirth (disorder),Fully defined,True,900000000000207008
212,63866b77081b3c130f5eb769,False,True,118940003,Disorder of nervous system (disorder),Fully defined,True,900000000000207008
213,63866b77081b3c130f5eb8ab,False,True,28576007,Open fracture of femur (disorder),Fully defined,True,900000000000207008
214,63866b77081b3c130f5eba81,False,True,15938005,Eclampsia (disorder),Primitive,True,900000000000207008
215,63866b77081b3c130f5ebc8f,False,True,36653000,Rubella (disorder),Fully defined,True,900000000000207008
216,63866b78081b3c130f5ec06d,False,True,813121000000101,Injury of tendon of finger (disorder),Fully defined,True,999000011000000103
217,63866b78081b3c130f5ec42c,False,True,299709002,Dental abscess (disorder),Fully defined,True,900000000000207008
218,63866b78081b3c130f5ec4e7,False,True,57662003,Injury of blood vessel (disorder),Fully defined,True,900000000000207008
219,63866b79081b3c130f5ec6b6,False,True,36948007,Fasciitis (disorder),Fully defined,True,900000000000207008
220,63866b79081b3c130f5ec9b0,False,True,36989005,Mumps (disorder),Fully defined,True,900000000000207008
221,63866b79081b3c130f5ecba3,False,True,36971009,Sinusitis (disorder),Fully defined,True,900000000000207008
222,63866b79081b3c130f5ecba4,False,True,28835009,Retinitis pigmentosa (disorder),Primitive,True,900000000000207008
223,63866b7b081b3c130f5ed8ef,False,True,65896005,Crushing injury of ankle (disorder),Fully defined,True,900000000000207008
224,63866b7c081b3c130f5ed9e8,False,True,73998008,Prolapse of female genital organs (disorder),Fully defined,True,900000000000207008
225,63866b7c081b3c130f5edc84,True,True,822091000000100,Clinical syndrome due to Escherichia coli O157 infection (disorder),Primitive,True,999000011000000103
226,63866b7c081b3c130f5edde9,False,True,65636009,Keratoconus (disorder),Primitive,True,900000000000207008
227,63866b7c081b3c130f5ede95,False,True,73765005,Disorder of vagus nerve (disorder),Fully defined,True,900000000000207008
228,63866b7d081b3c130f5ee4fb,False,True,49436004,Atrial fibrillation (disorder),Fully defined,True,900000000000207008
229,63866b7e081b3c130f5eed00,False,True,86406008,Human immunodeficiency virus infection (disorder),Fully defined,True,900000000000207008
230,63866b7f081b3c130f5ef3e8,False,True,81966000,Open fracture of radius AND ulna (disorder),Fully defined,True,900000000000207008
231,63866b7f081b3c130f5ef457,False,True,73830004,Foreign body in penis (disorder),Fully defined,True,900000000000207008
232,63866b7f081b3c130f5ef64e,False,True,81996005,Torsion of testis (disorder),Fully defined,True,900000000000207008
233,63866b7f081b3c130f5ef737,False,True,78370002,Scleritis (disorder),Fully defined,True,900000000000207008
234,63866b80081b3c130f5efaa7,False,True,93163002,Lipoma (disorder),Fully defined,True,900000000000207008
235,63866b80081b3c130f5efbd6,False,True,22878006,Contusion of knee (disorder),Fully defined,True,900000000000207008
236,63866b81081b3c130f5efd0b,False,True,85007004,Meralgia paresthetica (disorder),Primitive,True,900000000000207008
237,63866b81081b3c130f5eff32,False,True,80567007,Sialodocholithiasis (disorder),Fully defined,True,900000000000207008
238,63866b81081b3c130f5f012e,True,True,109678002,Extrusive luxation of tooth (disorder),Primitive,True,900000000000207008
239,63866b81081b3c130f5f0146,True,True,109671008,Complete avulsion of tooth (disorder),Fully defined,True,900000000000207008
240,63866b81081b3c130f5f0352,False,True,19265001,Tularemia (disorder),Fully defined,True,900000000000207008
241,63866b82081b3c130f5f05f5,False,True,387742006,Amblyopia (disorder),Primitive,True,900000000000207008
242,63866b83081b3c130f5f08b5,False,True,35489007,Depressive disorder (disorder),Primitive,True,900000000000207008
243,63866b83081b3c130f5f0de8,True,True,22817005,Strain of Achilles tendon (disorder),Fully defined,True,900000000000207008
244,63866b84081b3c130f5f13a2,False,True,387712008,Neonatal jaundice (disorder),Fully defined,True,900000000000207008
245,63866b84081b3c130f5f16da,False,True,19180002,Crushing injury of upper arm (disorder),Fully defined,True,900000000000207008
246,63866b85081b3c130f5f19aa,False,True,80423007,Spontaneous pneumothorax (disorder),Primitive,True,900000000000207008
247,63866b85081b3c130f5f1abb,False,True,14669001,Acute renal failure syndrome (disorder),Fully defined,True,900000000000207008
