,target_code,target_description,concept_x,concept_y
63,128241005,Inflammatory disease of liver,,Alcoholic hepatitis
64,585261000000101,Other hepatitis,,Alcoholic hepatitis
65,286878001,Other hepatitis,,Alcoholic hepatitis
66,154350000,Other hepatitis,,Alcoholic hepatitis
67,467141000000107,[X]Other specified inflammatory liver diseases,,Alcoholic hepatitis
68,29001004,Hepatitis,,Alcoholic hepatitis
69,197351001,Hepatitis unspecified,,Alcoholic hepatitis
70,578961000000105,Hepatitis unspecified,,Alcoholic hepatitis
71,660801000000101,Hepatitis unspecified NOS,,Alcoholic hepatitis
72,197353003,Hepatitis unspecified NOS,,Alcoholic hepatitis
73,128241005,Inflammatory disease of liver,,Alcoholic hepatitis
74,585261000000101,Other hepatitis,,Alcoholic hepatitis
75,286878001,Other hepatitis,,Alcoholic hepatitis
76,154350000,Other hepatitis,,Alcoholic hepatitis
77,467141000000107,[X]Other specified inflammatory liver diseases,,Alcoholic hepatitis
78,29001004,Hepatitis,,Alcoholic hepatitis
79,197351001,Hepatitis unspecified,,Alcoholic hepatitis
80,578961000000105,Hepatitis unspecified,,Alcoholic hepatitis
81,660801000000101,Hepatitis unspecified NOS,,Alcoholic hepatitis
82,197353003,Hepatitis unspecified NOS,,Alcoholic hepatitis
83,128241005,Inflammatory disease of liver,,Alcoholic hepatitis
84,585261000000101,Other hepatitis,,Alcoholic hepatitis
85,286878001,Other hepatitis,,Alcoholic hepatitis
86,154350000,Other hepatitis,,Alcoholic hepatitis
87,467141000000107,[X]Other specified inflammatory liver diseases,,Alcoholic hepatitis
88,29001004,Hepatitis,,Alcoholic hepatitis
89,197351001,Hepatitis unspecified,,Alcoholic hepatitis
90,578961000000105,Hepatitis unspecified,,Alcoholic hepatitis
91,660801000000101,Hepatitis unspecified NOS,,Alcoholic hepatitis
92,197353003,Hepatitis unspecified NOS,,Alcoholic hepatitis
93,128241005,Inflammatory disease of liver,,Alcoholic hepatitis
94,585261000000101,Other hepatitis,,Alcoholic hepatitis
95,286878001,Other hepatitis,,Alcoholic hepatitis
96,154350000,Other hepatitis,,Alcoholic hepatitis
97,467141000000107,[X]Other specified inflammatory liver diseases,,Alcoholic hepatitis
98,29001004,Hepatitis,,Alcoholic hepatitis
99,197351001,Hepatitis unspecified,,Alcoholic hepatitis
100,578961000000105,Hepatitis unspecified,,Alcoholic hepatitis
101,660801000000101,Hepatitis unspecified NOS,,Alcoholic hepatitis
102,197353003,Hepatitis unspecified NOS,,Alcoholic hepatitis
103,128241005,Inflammatory disease of liver,,Alcoholic hepatitis
104,585261000000101,Other hepatitis,,Alcoholic hepatitis
105,286878001,Other hepatitis,,Alcoholic hepatitis
106,154350000,Other hepatitis,,Alcoholic hepatitis
107,198861000,"Readmission for retained products of conception, spontaneous abortion",,"Spontaneous abortion; Incomplete, with other and unspecified complications"
108,275425008,Retained products after miscarriage,,"Spontaneous abortion; Incomplete, with other and unspecified complications"
109,111423006,Retained products of conception following abortion,,"Spontaneous abortion; Incomplete, with other and unspecified complications"
110,43429006,"Retained products of conception following abortion, NEC",,"Spontaneous abortion; Incomplete, with other and unspecified complications"
111,198654002,Spontaneous abortion: [incomplete NOS] or [retained products],,"Spontaneous abortion; Incomplete, with other and unspecified complications"
112,198861000,"Readmission for retained products of conception, spontaneous abortion",,"Spontaneous abortion; Incomplete, with other and unspecified complications"
113,275425008,Retained products after miscarriage,,"Spontaneous abortion; Incomplete, with other and unspecified complications"
114,111423006,Retained products of conception following abortion,,"Spontaneous abortion; Incomplete, with other and unspecified complications"
115,43429006,"Retained products of conception following abortion, NEC",,"Spontaneous abortion; Incomplete, with other and unspecified complications"
116,198654002,Spontaneous abortion: [incomplete NOS] or [retained products],,"Spontaneous abortion; Incomplete, with other and unspecified complications"
117,198861000,"Readmission for retained products of conception, spontaneous abortion",,"Spontaneous abortion; Incomplete, with other and unspecified complications"
118,275425008,Retained products after miscarriage,,"Spontaneous abortion; Incomplete, with other and unspecified complications"
119,111423006,Retained products of conception following abortion,,"Spontaneous abortion; Incomplete, with other and unspecified complications"
120,43429006,"Retained products of conception following abortion, NEC",,"Spontaneous abortion; Incomplete, with other and unspecified complications"
121,198654002,Spontaneous abortion: [incomplete NOS] or [retained products],,"Spontaneous abortion; Incomplete, with other and unspecified complications"
122,198861000,"Readmission for retained products of conception, spontaneous abortion",,"Spontaneous abortion; Incomplete, with other and unspecified complications"
123,275425008,Retained products after miscarriage,,"Spontaneous abortion; Incomplete, with other and unspecified complications"
124,111423006,Retained products of conception following abortion,,"Spontaneous abortion; Incomplete, with other and unspecified complications"
125,43429006,"Retained products of conception following abortion, NEC",,"Spontaneous abortion; Incomplete, with other and unspecified complications"
126,198654002,Spontaneous abortion: [incomplete NOS] or [retained products],,"Spontaneous abortion; Incomplete, with other and unspecified complications"
127,195403006,(Deep vein phlebitis and thrombophlebitis of the leg) or (deep vein thrombosis),,Phlebitis and thrombophlebitis of other deep vessels of lower extremities
128,266328001,(Deep venous thrombosis of leg [& non-obstetric]) or (non-puerperal milk-leg) or (deep thrombophlebitis of leg),,Phlebitis and thrombophlebitis of other deep vessels of lower extremities
129,155454004,(Deep venous thrombosis of leg [& non-obstetric]) or (non-puerperal milk-leg) or (deep thrombophlebitis of leg),,Phlebitis and thrombophlebitis of other deep vessels of lower extremities
130,366912000,Deep vein thrombosis of lower limb,,Phlebitis and thrombophlebitis of other deep vessels of lower extremities
131,128053003,Deep venous thrombosis,,Phlebitis and thrombophlebitis of other deep vessels of lower extremities
132,370248003,Deep venous thrombosis of leg,,Phlebitis and thrombophlebitis of other deep vessels of lower extremities
133,128057002,Deep venous thrombosis of lower extremity,,Phlebitis and thrombophlebitis of other deep vessels of lower extremities
134,128045006,Cellulitis,,Cellulitis of other sites
135,703721000000102,Cellulitis - digit NOS,,Cellulitis of other sites
136,288211000,Cellulitis - digit NOS,,Cellulitis of other sites
137,156307008,Cellulitis - digit NOS,,Cellulitis of other sites
138,677441000000105,Cellulitis NOS,,Cellulitis of other sites
139,156317003,Cellulitis NOS,,Cellulitis of other sites
140,200693005,Cellulitis NOS,,Cellulitis of other sites
141,38541002,Phlegmonous stomatitis AND cellulitis,,Cellulitis of other sites
142,128045006,Cellulitis,,Cellulitis of other sites
143,703721000000102,Cellulitis - digit NOS,,Cellulitis of other sites
144,288211000,Cellulitis - digit NOS,,Cellulitis of other sites
145,156307008,Cellulitis - digit NOS,,Cellulitis of other sites
146,677441000000105,Cellulitis NOS,,Cellulitis of other sites
147,156317003,Cellulitis NOS,,Cellulitis of other sites
148,200693005,Cellulitis NOS,,Cellulitis of other sites
149,38541002,Phlegmonous stomatitis AND cellulitis,,Cellulitis of other sites
150,233765002,Respiratory failure without hypercapnia,,"Respiratory failure, unspecified"
151,233765002,Respiratory failure without hypercapnia,,"Respiratory failure, unspecified"
152,266179001,(Gastroenteritis (& [viral NOS])) or (vomiting: [viral] or [& diarrhoea infection]) or (gastric flu),,Diarrhoea and gastroenteritis of presumed infectious origin
153,186157003,Infectious gastroenteritis,,Diarrhoea and gastroenteritis of presumed infectious origin
154,12463005,Infectious gastroenteritis,,Diarrhoea and gastroenteritis of presumed infectious origin
155,359614002,Nonbacterial gastroenteritis,,Diarrhoea and gastroenteritis of presumed infectious origin
156,555191000000105,Other specified gastrointestinal tract infections NOS,,Diarrhoea and gastroenteritis of presumed infectious origin
157,186147004,Other specified gastrointestinal tract infections NOS,,Diarrhoea and gastroenteritis of presumed infectious origin
158,186146008,Other specified other gastrointestinal infection,,Diarrhoea and gastroenteritis of presumed infectious origin
159,645921000000104,Other specified other gastrointestinal infection,,Diarrhoea and gastroenteritis of presumed infectious origin
160,157566008,Foreign body in rectum,,Foreign body in anus and rectum
161,70176004,Foreign body in rectum,,Foreign body in anus and rectum
162,233819005,Stable angina,,Other forms of angina pectoris
163,194838005,Stable angina,,Other forms of angina pectoris
164,155312003,Stable angina,,Other forms of angina pectoris
165,440991000000105,[X]Unspecified haemorrhoids with other complications,,"Disease of intestine, unspecified"
166,646521000000104,Bleeding haemorrhoids NOS,,"Disease of intestine, unspecified"
167,195464002,Bleeding haemorrhoids NOS,,"Disease of intestine, unspecified"
168,155469003,Haemorrhoid,,"Disease of intestine, unspecified"
169,70153002,Haemorrhoids,,"Disease of intestine, unspecified"
170,1050971000000102,Haemorrhoids NOS,,"Disease of intestine, unspecified"
171,195472000,Haemorrhoids NOS,,"Disease of intestine, unspecified"
172,155477004,Haemorrhoids NOS,,"Disease of intestine, unspecified"
173,636211000000106,Haemorrhoids NOS,,"Disease of intestine, unspecified"
174,600671000000109,Haemorrhoids with other complications NOS,,"Disease of intestine, unspecified"
175,195468004,Haemorrhoids with other complications NOS,,"Disease of intestine, unspecified"
176,195463008,Haemorrhoids with other complications NOS,,"Disease of intestine, unspecified"
177,195465001,Prolapsed haemorrhoids NOS,,"Disease of intestine, unspecified"
178,606561000000104,Prolapsed haemorrhoids NOS,,"Disease of intestine, unspecified"
179,195466000,Strangulated haemorrhoids NOS,,"Disease of intestine, unspecified"
180,600701000000108,Strangulated haemorrhoids NOS,,"Disease of intestine, unspecified"
181,195462003,Thrombosed haemorrhoids NOS,,"Disease of intestine, unspecified"
182,623601000000100,Thrombosed haemorrhoids NOS,,"Disease of intestine, unspecified"
183,646551000000109,Ulcerated haemorrhoids NOS,,"Disease of intestine, unspecified"
184,195467009,Ulcerated haemorrhoids NOS,,"Disease of intestine, unspecified"
185,633531000000107,Unspecified simple haemorrhoids,,"Disease of intestine, unspecified"
186,195461005,Unspecified simple haemorrhoids,,"Disease of intestine, unspecified"
187,440991000000105,[X]Unspecified haemorrhoids with other complications,,"Disease of intestine, unspecified"
188,646521000000104,Bleeding haemorrhoids NOS,,"Disease of intestine, unspecified"
189,195464002,Bleeding haemorrhoids NOS,,"Disease of intestine, unspecified"
190,155469003,Haemorrhoid,,"Disease of intestine, unspecified"
191,70153002,Haemorrhoids,,"Disease of intestine, unspecified"
192,1050971000000102,Haemorrhoids NOS,,"Disease of intestine, unspecified"
193,195472000,Haemorrhoids NOS,,"Disease of intestine, unspecified"
194,155477004,Haemorrhoids NOS,,"Disease of intestine, unspecified"
195,636211000000106,Haemorrhoids NOS,,"Disease of intestine, unspecified"
196,600671000000109,Haemorrhoids with other complications NOS,,"Disease of intestine, unspecified"
197,195468004,Haemorrhoids with other complications NOS,,"Disease of intestine, unspecified"
198,195463008,Haemorrhoids with other complications NOS,,"Disease of intestine, unspecified"
199,195465001,Prolapsed haemorrhoids NOS,,"Disease of intestine, unspecified"
200,606561000000104,Prolapsed haemorrhoids NOS,,"Disease of intestine, unspecified"
201,195466000,Strangulated haemorrhoids NOS,,"Disease of intestine, unspecified"
202,600701000000108,Strangulated haemorrhoids NOS,,"Disease of intestine, unspecified"
203,195462003,Thrombosed haemorrhoids NOS,,"Disease of intestine, unspecified"
204,623601000000100,Thrombosed haemorrhoids NOS,,"Disease of intestine, unspecified"
205,646551000000109,Ulcerated haemorrhoids NOS,,"Disease of intestine, unspecified"
206,195467009,Ulcerated haemorrhoids NOS,,"Disease of intestine, unspecified"
207,633531000000107,Unspecified simple haemorrhoids,,"Disease of intestine, unspecified"
208,195461005,Unspecified simple haemorrhoids,,"Disease of intestine, unspecified"
209,76537003,Spontaneous tension pneumothorax,,Spontaneous tension pneumothorax
210,155611004,Tension pneumothorax,,Spontaneous tension pneumothorax
211,233645004,Tension pneumothorax,,Spontaneous tension pneumothorax
212,158464007,[D]Retention of urine,,Retention of urine
213,207163000,[D]Retention of urine,,Retention of urine
214,498791000000102,[D]Retention of urine,,Retention of urine
215,498841000000100,[D]Retention of urine unspecified,,Retention of urine
216,207169001,[D]Retention of urine unspecified,,Retention of urine
217,158467000,[D]Retention of urine unspecified,,Retention of urine
218,139405008,Cannot pass urine - retention (& [symptom]),,Retention of urine
219,162127001,Cannot pass urine - retention (& [symptom]),,Retention of urine
220,225722008,Not passing urine,,Retention of urine
221,141084003,O/E - mict.refl.abn.-retention,,Retention of urine
222,141085002,O/E-mict.refl.abn-ret+overflow,,Retention of urine
223,267064002,Retention of urine,,Retention of urine
224,69792008,Urinary retention,,Retention of urine
225,397991000000107,[X]Other interstitial pulmonary diseases with fibrosis,,Other interstitial pulmonary diseases with fibrosis
226,397981000000105,[X]Other respiratory diseases principally affecting the interstitium,,Other interstitial pulmonary diseases with fibrosis
227,419331000000108,[X]Other specified interstitial pulmonary diseases,,Other interstitial pulmonary diseases with fibrosis
228,621081000000104,Alveolar and parietoalveolar disease NOS,,Other interstitial pulmonary diseases with fibrosis
229,196130003,Alveolar and parietoalveolar disease NOS,,Other interstitial pulmonary diseases with fibrosis
230,233714005,Diffuse infiltrative lung disease,,Other interstitial pulmonary diseases with fibrosis
231,233703007,Interstitial lung disease,,Other interstitial pulmonary diseases with fibrosis
232,196161007,Interstitial lung disease NEC,,Other interstitial pulmonary diseases with fibrosis
233,535011000000101,Interstitial lung disease NEC,,Other interstitial pulmonary diseases with fibrosis
234,196122004,Other alveolar and parietoalveolar disease,,Other interstitial pulmonary diseases with fibrosis
235,196127005,Other alveolar and parietoalveolar disease,,Other interstitial pulmonary diseases with fibrosis
236,649161000000106,Other alveolar and parietoalveolar disease,,Other interstitial pulmonary diseases with fibrosis
237,649181000000102,Other alveolar and parietoalveolar disease NOS,,Other interstitial pulmonary diseases with fibrosis
238,196129008,Other alveolar and parietoalveolar disease NOS,,Other interstitial pulmonary diseases with fibrosis
239,397991000000107,[X]Other interstitial pulmonary diseases with fibrosis,,Other interstitial pulmonary diseases with fibrosis
240,397981000000105,[X]Other respiratory diseases principally affecting the interstitium,,Other interstitial pulmonary diseases with fibrosis
241,419331000000108,[X]Other specified interstitial pulmonary diseases,,Other interstitial pulmonary diseases with fibrosis
242,621081000000104,Alveolar and parietoalveolar disease NOS,,Other interstitial pulmonary diseases with fibrosis
243,196130003,Alveolar and parietoalveolar disease NOS,,Other interstitial pulmonary diseases with fibrosis
244,233714005,Diffuse infiltrative lung disease,,Other interstitial pulmonary diseases with fibrosis
245,233703007,Interstitial lung disease,,Other interstitial pulmonary diseases with fibrosis
246,196161007,Interstitial lung disease NEC,,Other interstitial pulmonary diseases with fibrosis
247,535011000000101,Interstitial lung disease NEC,,Other interstitial pulmonary diseases with fibrosis
248,196122004,Other alveolar and parietoalveolar disease,,Other interstitial pulmonary diseases with fibrosis
249,196127005,Other alveolar and parietoalveolar disease,,Other interstitial pulmonary diseases with fibrosis
250,649161000000106,Other alveolar and parietoalveolar disease,,Other interstitial pulmonary diseases with fibrosis
251,649181000000102,Other alveolar and parietoalveolar disease NOS,,Other interstitial pulmonary diseases with fibrosis
252,196129008,Other alveolar and parietoalveolar disease NOS,,Other interstitial pulmonary diseases with fibrosis
253,397991000000107,[X]Other interstitial pulmonary diseases with fibrosis,,Other interstitial pulmonary diseases with fibrosis
254,397981000000105,[X]Other respiratory diseases principally affecting the interstitium,,Other interstitial pulmonary diseases with fibrosis
255,419331000000108,[X]Other specified interstitial pulmonary diseases,,Other interstitial pulmonary diseases with fibrosis
256,621081000000104,Alveolar and parietoalveolar disease NOS,,Other interstitial pulmonary diseases with fibrosis
257,196130003,Alveolar and parietoalveolar disease NOS,,Other interstitial pulmonary diseases with fibrosis
258,233714005,Diffuse infiltrative lung disease,,Other interstitial pulmonary diseases with fibrosis
259,233703007,Interstitial lung disease,,Other interstitial pulmonary diseases with fibrosis
260,196161007,Interstitial lung disease NEC,,Other interstitial pulmonary diseases with fibrosis
261,535011000000101,Interstitial lung disease NEC,,Other interstitial pulmonary diseases with fibrosis
262,196122004,Other alveolar and parietoalveolar disease,,Other interstitial pulmonary diseases with fibrosis
263,196127005,Other alveolar and parietoalveolar disease,,Other interstitial pulmonary diseases with fibrosis
264,649161000000106,Other alveolar and parietoalveolar disease,,Other interstitial pulmonary diseases with fibrosis
265,649181000000102,Other alveolar and parietoalveolar disease NOS,,Other interstitial pulmonary diseases with fibrosis
266,196129008,Other alveolar and parietoalveolar disease NOS,,Other interstitial pulmonary diseases with fibrosis
267,397991000000107,[X]Other interstitial pulmonary diseases with fibrosis,,Other interstitial pulmonary diseases with fibrosis
268,397981000000105,[X]Other respiratory diseases principally affecting the interstitium,,Other interstitial pulmonary diseases with fibrosis
269,419331000000108,[X]Other specified interstitial pulmonary diseases,,Other interstitial pulmonary diseases with fibrosis
270,621081000000104,Alveolar and parietoalveolar disease NOS,,Other interstitial pulmonary diseases with fibrosis
271,196130003,Alveolar and parietoalveolar disease NOS,,Other interstitial pulmonary diseases with fibrosis
272,233714005,Diffuse infiltrative lung disease,,Other interstitial pulmonary diseases with fibrosis
273,233703007,Interstitial lung disease,,Other interstitial pulmonary diseases with fibrosis
274,196161007,Interstitial lung disease NEC,,Other interstitial pulmonary diseases with fibrosis
275,535011000000101,Interstitial lung disease NEC,,Other interstitial pulmonary diseases with fibrosis
276,196122004,Other alveolar and parietoalveolar disease,,Other interstitial pulmonary diseases with fibrosis
277,196127005,Other alveolar and parietoalveolar disease,,Other interstitial pulmonary diseases with fibrosis
278,649161000000106,Other alveolar and parietoalveolar disease,,Other interstitial pulmonary diseases with fibrosis
279,649181000000102,Other alveolar and parietoalveolar disease NOS,,Other interstitial pulmonary diseases with fibrosis
280,196129008,Other alveolar and parietoalveolar disease NOS,,Other interstitial pulmonary diseases with fibrosis
281,202766007,(Torticollis unspecified) or (contracture of neck),,Other specified rheumatoid arthritis
282,202769000,Neck: [wry] or [torticollis NOS] or [stiff NOS],,Other specified rheumatoid arthritis
283,70070008,Torticollis,,Other specified rheumatoid arthritis
284,156643008,Torticollis (& [NOS]),,Other specified rheumatoid arthritis
285,268080005,Torticollis (& [NOS]),,Other specified rheumatoid arthritis
286,643241000000102,Torticollis NOS,,Other specified rheumatoid arthritis
287,267979007,Torticollis NOS,,Other specified rheumatoid arthritis
288,267978004,Torticollis unspecified,,Other specified rheumatoid arthritis
289,643231000000106,Torticollis unspecified,,Other specified rheumatoid arthritis
290,139139001,Wry neck/torticollis,,Other specified rheumatoid arthritis
291,270476009,Wry neck/torticollis,,Other specified rheumatoid arthritis
292,161883001,Wry neck/torticollis (& symptom),,Other specified rheumatoid arthritis
293,416141000000108,[X]Other and unspecified right bundle-branch block,,Right fascicular block
294,195064006,Right bundle branch block,,Right fascicular block
295,195055001,Right bundle branch block,,Right fascicular block
296,155358002,Right bundle branch block,,Right fascicular block
297,59118001,Right bundle branch block,,Right fascicular block
298,416141000000108,[X]Other and unspecified right bundle-branch block,,Right fascicular block
299,195064006,Right bundle branch block,,Right fascicular block
300,195055001,Right bundle branch block,,Right fascicular block
301,155358002,Right bundle branch block,,Right fascicular block
302,59118001,Right bundle branch block,,Right fascicular block
303,216971000000101,[D]Asystolic vasovagal syncope,,Syncope and collapse
304,200261000000102,[D]Asystolic vasovagal syncope,,Syncope and collapse
305,158136005,[D]Vasovagal attack,,Syncope and collapse
306,234163005,Neurally-mediated syncope,,Syncope and collapse
307,139534004,Syncope/vasovagal faint,,Syncope and collapse
308,162265001,Syncope/vasovagal faint,,Syncope and collapse
309,230663003,Vasodepressor syncope,,Syncope and collapse
310,398652001,Vasovagal attack,,Syncope and collapse
311,127380002,Vasovagal syncope,,Syncope and collapse
312,398665005,Vasovagal syncope,,Syncope and collapse
313,75258004,Food poisoning,Dehydration and gastroenteritis,"Bacterial foodborne intoxication, unspecified"
314,186115009,Food poisoning NOS,Dehydration and gastroenteritis,"Bacterial foodborne intoxication, unspecified"
315,638361000000100,Food poisoning NOS,Dehydration and gastroenteritis,"Bacterial foodborne intoxication, unspecified"
316,883441000000101,Catheter associated urinary tract infection,,"Infection and inflammatory reaction due to prosthetic device, implant and graft in urinary system"
317,883431000000105,Catheter-associated urinary tract infection,,"Infection and inflammatory reaction due to prosthetic device, implant and graft in urinary system"
318,700372006,Catheter-associated urinary tract infection,,"Infection and inflammatory reaction due to prosthetic device, implant and graft in urinary system"
319,390351000000101,[X]Other hydrocele,,"Hydrocele, unspecified"
320,155912008,Hydrocele,,"Hydrocele, unspecified"
321,55434001,Hydrocele,,"Hydrocele, unspecified"
322,666211000000103,Hydrocele NOS,,"Hydrocele, unspecified"
323,70660007,Hydrocele of tunica vaginalis,,"Hydrocele, unspecified"
324,666201000000100,Other types of hydrocele,,"Hydrocele, unspecified"
325,211581007,(Crush injury: [finger(s)] or [thumb]) or (trapped finger),,Crushing injury of other and unspecified parts of wrist and hand
326,283858004,Crush injury of thumb,,Crushing injury of other and unspecified parts of wrist and hand
327,211581007,(Crush injury: [finger(s)] or [thumb]) or (trapped finger),,Crushing injury of other and unspecified parts of wrist and hand
328,283858004,Crush injury of thumb,,Crushing injury of other and unspecified parts of wrist and hand
329,339591000000102,[D]Fowler's Syndrome,,Retention of urine
330,369111000000107,[D]Fowler's syndrome,,Retention of urine
331,700242002,Fowler syndrome,,Retention of urine
332,885951000000107,Fowler's syndrome,,Retention of urine
333,428641000000105,[X]Other abortion,,"Spontaneous abortion; Incomplete, complicated by embolism"
334,70317007,Abortion,,"Spontaneous abortion; Incomplete, complicated by embolism"
335,26022006,Abortion in first trimester,,"Spontaneous abortion; Incomplete, complicated by embolism"
336,63748000,Abortion in second trimester,,"Spontaneous abortion; Incomplete, complicated by embolism"
337,43285004,Abortion in third trimester,,"Spontaneous abortion; Incomplete, complicated by embolism"
338,156079001,Abortion NOS,,"Spontaneous abortion; Incomplete, complicated by embolism"
339,668321000000101,Abortion NOS,,"Spontaneous abortion; Incomplete, complicated by embolism"
340,267297005,Abortion NOS,,"Spontaneous abortion; Incomplete, complicated by embolism"
341,5434002,"Abortion, 1 month",,"Spontaneous abortion; Incomplete, complicated by embolism"
342,65371003,"Abortion, 2 months",,"Spontaneous abortion; Incomplete, complicated by embolism"
343,80964008,"Abortion, 3 months",,"Spontaneous abortion; Incomplete, complicated by embolism"
344,25047000,"Abortion, 4 months",,"Spontaneous abortion; Incomplete, complicated by embolism"
345,78939004,"Abortion, 5 months",,"Spontaneous abortion; Incomplete, complicated by embolism"
346,11861004,"Abortion, 6 months",,"Spontaneous abortion; Incomplete, complicated by embolism"
347,43666007,"Abortion, 7 months",,"Spontaneous abortion; Incomplete, complicated by embolism"
348,29768004,"Abortion, 8 months",,"Spontaneous abortion; Incomplete, complicated by embolism"
349,14315005,"Abortion, 9 months",,"Spontaneous abortion; Incomplete, complicated by embolism"
350,267294003,Abortion: [spontaneous] or [complete] or [incomplete],,"Spontaneous abortion; Incomplete, complicated by embolism"
351,156071003,Abortion: [spontaneous] or [complete] or [incomplete],,"Spontaneous abortion; Incomplete, complicated by embolism"
352,17369002,Miscarriage,,"Spontaneous abortion; Incomplete, complicated by embolism"
353,662491000000109,Other abnormal product of conception,,"Spontaneous abortion; Incomplete, complicated by embolism"
354,662501000000103,Other abnormal product of conception NOS,,"Spontaneous abortion; Incomplete, complicated by embolism"
355,643081000000103,Other abortive pregnancy,,"Spontaneous abortion; Incomplete, complicated by embolism"
356,599211000000104,Other specified pregnancy with abortive outcome,,"Spontaneous abortion; Incomplete, complicated by embolism"
357,599221000000105,Pregnancy with abortive outcome NOS,,"Spontaneous abortion; Incomplete, complicated by embolism"
358,156074006,Spontaneous abortion NOS,,"Spontaneous abortion; Incomplete, complicated by embolism"
