"","snomed_code","snomed_description","icd10_code","icd10_description"
"59","266179001","(Gastroenteritis (& [viral NOS])) or (vomiting: [viral] or [& diarrhoea infection]) or (gastric flu)","A09.0","Other and unspecified gastroenteritis and colitis of infectious origin"
"60","186157003","Infectious gastroenteritis","A09.0","Other and unspecified gastroenteritis and colitis of infectious origin"
"61","12463005","Infectious gastroenteritis","A09.0","Other and unspecified gastroenteritis and colitis of infectious origin"
"62","359614002","Nonbacterial gastroenteritis","A09.0","Other and unspecified gastroenteritis and colitis of infectious origin"
"63","555191000000105","Other specified gastrointestinal tract infections NOS","A09.0","Other and unspecified gastroenteritis and colitis of infectious origin"
"64","186147004","Other specified gastrointestinal tract infections NOS","A09.0","Other and unspecified gastroenteritis and colitis of infectious origin"
"65","186146008","Other specified other gastrointestinal infection","A09.0","Other and unspecified gastroenteritis and colitis of infectious origin"
"66","645921000000104","Other specified other gastrointestinal infection","A09.0","Other and unspecified gastroenteritis and colitis of infectious origin"
"67","157566008","Foreign body in rectum","T18.5","Foreign body in anus and rectum"
"68","70176004","Foreign body in rectum","T18.5","Foreign body in anus and rectum"
"69","233819005","Stable angina","I20.9","Angina pectoris, unspecified"
"70","194838005","Stable angina","I20.9","Angina pectoris, unspecified"
"71","155312003","Stable angina","I20.9","Angina pectoris, unspecified"
"74","195464002","Bleeding haemorrhoids NOS","K64.8","Haemorrhoids, unspecified"
"75","155469003","Haemorrhoid","K64.9","Haemorrhoids, unspecified"
"76","70153002","Haemorrhoids","K64.9","Haemorrhoids, unspecified"
"77","1050971000000102","Haemorrhoids NOS","K64.9","Haemorrhoids, unspecified"
"78","195472000","Haemorrhoids NOS","K64.9","Haemorrhoids, unspecified"
"79","155477004","Haemorrhoids NOS","K64.9","Haemorrhoids, unspecified"
"80","636211000000106","Haemorrhoids NOS","K64.9","Haemorrhoids, unspecified"
"81","600671000000109","Haemorrhoids with other complications NOS","K64.9","Haemorrhoids, unspecified"
"82","195468004","Haemorrhoids with other complications NOS","K64.9","Haemorrhoids, unspecified"
"83","195463008","Haemorrhoids with other complications NOS","K64.9","Haemorrhoids, unspecified"
"84","195465001","Prolapsed haemorrhoids NOS","K64.9","Haemorrhoids, unspecified"
"85","606561000000104","Prolapsed haemorrhoids NOS","K64.9","Haemorrhoids, unspecified"
"86","195466000","Strangulated haemorrhoids NOS","K64.9","Haemorrhoids, unspecified"
"87","600701000000108","Strangulated haemorrhoids NOS","K64.9","Haemorrhoids, unspecified"
"88","195462003","Thrombosed haemorrhoids NOS","K64.9","Haemorrhoids, unspecified"
"89","623601000000100","Thrombosed haemorrhoids NOS","K64.9","Haemorrhoids, unspecified"
"90","646551000000109","Ulcerated haemorrhoids NOS","K64.9","Haemorrhoids, unspecified"
"91","195467009","Ulcerated haemorrhoids NOS","K64.9","Haemorrhoids, unspecified"
"92","633531000000107","Unspecified simple haemorrhoids","K64.9","Haemorrhoids, unspecified"
"93","195461005","Unspecified simple haemorrhoids","K64.9","Haemorrhoids, unspecified"
"94","76537003","Spontaneous tension pneumothorax","K64.9","Haemorrhoids, unspecified"
"95","155611004","Tension pneumothorax","J93.0","Spontaneous tension pneumothorax"
"96","233645004","Tension pneumothorax","J93.0","Spontaneous tension pneumothorax"
"97","158464007","[D]Retention of urine","J93.0","Spontaneous tension pneumothorax"
"110","397991000000107","[X]Other interstitial pulmonary diseases with fibrosis","J84.9","Interstitial pulmonary disease, unspecified"
"111","397981000000105","[X]Other respiratory diseases principally affecting the interstitium","J84.9","Interstitial pulmonary disease, unspecified"
"112","419331000000108","[X]Other specified interstitial pulmonary diseases","J84.9","Interstitial pulmonary disease, unspecified"
"113","621081000000104","Alveolar and parietoalveolar disease NOS","J84.9","Interstitial pulmonary disease, unspecified"
"114","196130003","Alveolar and parietoalveolar disease NOS","J84.9","Interstitial pulmonary disease, unspecified"
"115","233714005","Diffuse infiltrative lung disease","J84.9","Interstitial pulmonary disease, unspecified"
"116","233703007","Interstitial lung disease","J84.9","Interstitial pulmonary disease, unspecified"
"117","196161007","Interstitial lung disease NEC","J84.9","Interstitial pulmonary disease, unspecified"
"118","535011000000101","Interstitial lung disease NEC","J84.9","Interstitial pulmonary disease, unspecified"
"119","196122004","Other alveolar and parietoalveolar disease","J84.9","Interstitial pulmonary disease, unspecified"
"120","196127005","Other alveolar and parietoalveolar disease","J84.9","Interstitial pulmonary disease, unspecified"
"121","649161000000106","Other alveolar and parietoalveolar disease","J84.9","Interstitial pulmonary disease, unspecified"
"122","649181000000102","Other alveolar and parietoalveolar disease NOS","J84.9","Interstitial pulmonary disease, unspecified"
"123","196129008","Other alveolar and parietoalveolar disease NOS","J84.9","Interstitial pulmonary disease, unspecified"
"136","416141000000108","[X]Other and unspecified right bundle-branch block","I45.1","Other and unspecified right bundle-branch block"
"137","195064006","Right bundle branch block","I45.1","Other and unspecified right bundle-branch block"
"138","195055001","Right bundle branch block","I45.1","Other and unspecified right bundle-branch block"
"139","155358002","Right bundle branch block","I45.1","Other and unspecified right bundle-branch block"
"140","59118001","Right bundle branch block","I45.1","Other and unspecified right bundle-branch block"
"141","216971000000101","[D]Asystolic vasovagal syncope","R55.X","Syncope and collapse"
"142","200261000000102","[D]Asystolic vasovagal syncope","R55.X","Syncope and collapse"
"143","158136005","[D]Vasovagal attack","R55.X","Syncope and collapse"
"144","234163005","Neurally-mediated syncope","R55.X","Syncope and collapse"
"145","139534004","Syncope/vasovagal faint","R55.X","Syncope and collapse"
"146","162265001","Syncope/vasovagal faint","R55.X","Syncope and collapse"
"147","230663003","Vasodepressor syncope","R55.X","Syncope and collapse"
"148","398652001","Vasovagal attack","R55.X","Syncope and collapse"
"149","127380002","Vasovagal syncope","R55.X","Syncope and collapse"
"150","398665005","Vasovagal syncope","R55.X","Syncope and collapse"
"154","883441000000101","Catheter associated urinary tract infection","T83.8","Other complications of genitourinary prosthetic devices, implants and grafts"
"155","883431000000105","Catheter-associated urinary tract infection","T83.8","Other complications of genitourinary prosthetic devices, implants and grafts"
"156","700372006","Catheter-associated urinary tract infection","T83.8","Other complications of genitourinary prosthetic devices, implants and grafts"
"157","390351000000101","[X]Other hydrocele","N43.3","Hydrocele, unspecified"
"158","155912008","Hydrocele","N43.3","Hydrocele, unspecified"
"159","55434001","Hydrocele","N43.3","Hydrocele, unspecified"
"160","666211000000103","Hydrocele NOS","N43.3","Hydrocele, unspecified"
"161","70660007","Hydrocele of tunica vaginalis","N43.3","Hydrocele, unspecified"
"162","666201000000100","Other types of hydrocele","N43.3","Hydrocele, unspecified"
"164","283858004","Crush injury of thumb","S67.0","Crushing injury of thumb and other finger(s)"
"169","428641000000105","[X]Other abortion","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"170","70317007","Abortion","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"171","26022006","Abortion in first trimester","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"172","63748000","Abortion in second trimester","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"173","43285004","Abortion in third trimester","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"174","156079001","Abortion NOS","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"175","668321000000101","Abortion NOS","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"176","267297005","Abortion NOS","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"177","5434002","Abortion, 1 month","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"178","65371003","Abortion, 2 months","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"179","80964008","Abortion, 3 months","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"180","25047000","Abortion, 4 months","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"181","78939004","Abortion, 5 months","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"182","11861004","Abortion, 6 months","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"183","43666007","Abortion, 7 months","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"184","29768004","Abortion, 8 months","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"185","14315005","Abortion, 9 months","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"186","267294003","Abortion: [spontaneous] or [complete] or [incomplete]","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"187","156071003","Abortion: [spontaneous] or [complete] or [incomplete]","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"188","17369002","Miscarriage","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"189","662491000000109","Other abnormal product of conception","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"190","662501000000103","Other abnormal product of conception NOS","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"191","643081000000103","Other abortive pregnancy","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"192","599211000000104","Other specified pregnancy with abortive outcome","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"193","599221000000105","Pregnancy with abortive outcome NOS","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"194","156074006","Spontaneous abortion NOS","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"195","198689000","Spontaneous abortion NOS","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"196","669841000000106","Spontaneous abortion NOS","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"197","620001000000102","Spontaneous abortion unspecified","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"198","198631006","Spontaneous abortion unspecified","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"199","198632004","Spontaneous abortion: [unspecified with genital or pelvic infection] or [with sepsis]","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"200","660231000000108","Unspecified abortion","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"201","198769009","Unspecified abortion","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"202","198768001","Unspecified abortion","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"203","198780009","Unspecified abortion NOS","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"204","198805006","Unspecified abortion NOS","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"205","639931000000103","Unspecified abortion NOS","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"206","198778003","Unspecified abortion with complication NOS","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"207","639911000000106","Unspecified abortion with complication NOS","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"208","198772002","Unspecified abortion with damage to pelvic organs or tissues","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"209","659001000000109","Unspecified abortion with damage to pelvic organs or tissues","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"210","198771009","Unspecified abortion with delayed or excessive haemorrhage","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"211","614961000000101","Unspecified abortion with delayed or excessive haemorrhage","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"212","639891000000108","Unspecified abortion with embolism","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"213","198776004","Unspecified abortion with embolism","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"214","198770005","Unspecified abortion with genital tract or pelvic infection","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"215","587061000000104","Unspecified abortion with genital tract or pelvic infection","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"216","587071000000106","Unspecified abortion with metabolic disorder","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"217","198774001","Unspecified abortion with metabolic disorder","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"218","198779006","Unspecified abortion with no mention of complication","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"219","639921000000100","Unspecified abortion with no mention of complication","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"220","198777008","Unspecified abortion with other specified complication","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"221","639901000000109","Unspecified abortion with other specified complication","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"222","587081000000108","Unspecified abortion with renal failure","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"223","198773007","Unspecified abortion with renal failure","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"224","198775000","Unspecified abortion with shock","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"225","639881000000106","Unspecified abortion with shock","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"226","2787008","Unspecified abortion with specified complication, NEC","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"227","613981000000107","Unspecified legal abortion with no mention of complication","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"228","198643007","Unspecified spontaneous abortion NOS","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"229","672451000000105","Unspecified spontaneous abortion NOS","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"230","650801000000107","Unspecified spontaneous abortion with complication NOS","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"231","198641009","Unspecified spontaneous abortion with complication NOS","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"232","642911000000100","Unspecified spontaneous abortion with damage to pelvic organs or tissues","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"233","198634003","Unspecified spontaneous abortion with damage to pelvic organs or tissues","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"234","685531000000103","Unspecified spontaneous abortion with delayed or excessive haemorrhage","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"235","267189005","Unspecified spontaneous abortion with delayed or excessive haemorrhage","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"236","650781000000106","Unspecified spontaneous abortion with embolism","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"237","198638000","Unspecified spontaneous abortion with embolism","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"238","677041000000102","Unspecified spontaneous abortion with genital tract or pelvic infection","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"239","267188002","Unspecified spontaneous abortion with genital tract or pelvic infection","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"240","198636001","Unspecified spontaneous abortion with metabolic disorder","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"241","640491000000100","Unspecified spontaneous abortion with metabolic disorder","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"242","198640005","Unspecified spontaneous abortion with other specified complication","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"243","650791000000108","Unspecified spontaneous abortion with other specified complication","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"244","642921000000106","Unspecified spontaneous abortion with renal failure","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"245","198635002","Unspecified spontaneous abortion with renal failure","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"246","198637005","Unspecified spontaneous abortion with shock","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"247","640501000000106","Unspecified spontaneous abortion with shock","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"248","650811000000109","Unspecified spontaneous abortion without mention of complication","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"249","198642002","Unspecified spontaneous abortion without mention of complication","O03.9","Spontaneous abortion : complete or unspecified, without complication"
"250","128477000","Abscess","L02.9","Cutaneous abscess, furuncle and carbuncle, unspecified"
"255","6456007","Supraventricular tachycardia","I47.1","Supraventricular tachycardia"
"256","266305002","Supraventricular tachycardia (& [paroxysmal] or [paroxysmal artrial])","I47.1","Supraventricular tachycardia"
"257","155363003","Supraventricular tachycardia (& [paroxysmal] or [paroxysmal artrial])","I47.1","Supraventricular tachycardia"
"258","603801000000107","Supraventricular tachycardia NOS","I47.1","Supraventricular tachycardia"
"259","195104006","Supraventricular tachycardia NOS","I47.1","Supraventricular tachycardia"
"260","129848002","Fluid volume alteration","E87.8","Other disorders of electrolyte and fluid balance, not elsewhere classified"
"261","1860003","Fluid volume disorder","E87.8","Other disorders of electrolyte and fluid balance, not elsewhere classified"
"262","442341000000102","[X]Pneumonia in other diseases classified elsewhere","J18.0","Bronchopneumonia, unspecified"
"263","60363000","Pneumonia","J18.1","Bronchopneumonia, unspecified"
"264","233604007","Pneumonia","J18.0","Bronchopneumonia, unspecified"
"265","155548002","Pneumonia and influenza &/or pneumonia","J18.0","Bronchopneumonia, unspecified"
"266","266391003","Pneumonia and influenza &/or pneumonia","J18.0","Bronchopneumonia, unspecified"
"267","155552002","Pneumonia NOS","J18.0","Bronchopneumonia, unspecified"
"268","274103002","Pneumonia NOS","J18.0","Bronchopneumonia, unspecified"
"269","155558003","Pneumonia NOS","J18.0","Bronchopneumonia, unspecified"
"270","677801000000109","Pneumonia NOS","J18.8","Bronchopneumonia, unspecified"
"271","195041009","(Prolonged P-R interval) or (first degree AV block)","I44.0","Atrioventricular block, first degree"
"272","14256006","First degree atrioventricular block","I44.0","Atrioventricular block, first degree"
"273","270492004","First degree atrioventricular block","I44.0","Atrioventricular block, first degree"
"274","197219000","(Haemorrhage of rectum and anus) or (PR - bleeding per rectum)","K62.5","Haemorrhage of anus and rectum"
"275","266532006","Anal &/or rectal haemorrhage","K62.5","Haemorrhage of anus and rectum"
"276","155804001","Anal &/or rectal haemorrhage","K62.5","Haemorrhage of anus and rectum"
"277","12063002","Rectal haemorrhage","K62.5","Haemorrhage of anus and rectum"
"280","310505005","Hyperosmolar non-ketotic state due to diabetes mellitus","E11.8","Type 2 diabetes mellitus with unspecified complications"
"281","417109008","Pulled elbow","S53.1","Dislocation of elbow, unspecified"
"282","95854004","Pulled elbow","S53.1","Dislocation of elbow, unspecified"
"283","393609003","Pulled elbow","S53.1","Dislocation of elbow, unspecified"
"284","495521000000103","[D]Micturition syncope","R55.X","Syncope and collapse"
"285","206730009","[D]Micturition syncope","R55.X","Syncope and collapse"
"286","234168001","Micturition syncope","R55.X","Syncope and collapse"
"287","157272009","Dislocated: [foot] or [toe]","S93.1","Dislocation of toe(s)"
"288","269326001","Dislocated: [foot] or [toe]","S93.1","Dislocation of toe(s)"
"289","157273004","Dislocation of toe joint","S93.1","Dislocation of toe(s)"
"290","263030002","Dislocation of toe joint","S93.1","Dislocation of toe(s)"
"291","157270001","Dislocation of patellofemoral joint","S83.0","Dislocation of patella"
"292","263029007","Dislocation of patellofemoral joint","S83.0","Dislocation of patella"
"293","281505006","Intra-articular patellofemoral dislocation","S83.0","Dislocation of patella"
"294","90869000","Patellar luxation","S83.0","Dislocation of patella"
"295","269325002","Dislocated: [shoulder] or [acromioclavicular joint]","S43.1","Dislocation of acromioclavicular joint"
"296","157259008","Dislocated: [shoulder] or [acromioclavicular joint]","S43.1","Dislocation of acromioclavicular joint"
"297","263019000","Dislocation of acromioclavicular joint","S43.1","Dislocation of acromioclavicular joint"
"298","263009006","Dislocation of sternoclavicular joint","S43.2","Dislocation of sternoclavicular joint"
"299","1098111000000101","Drug-induced seizure","G40.5","Special epileptic syndromes"
"300","417558002","Dislocation of elbow joint","S53.1","Dislocation of elbow, unspecified"
"301","208810008","Dislocation of elbow NOS","S53.1","Dislocation of elbow, unspecified"
"302","208782004","Dislocation or subluxation of elbow","S53.1","Dislocation of elbow, unspecified"
"303","154691006","Hypoglycaemia","E16.2","Hypoglycaemia, unspecified"
"304","154691006","Hypoglycaemia","E16.2","Hypoglycaemia, unspecified"
"305","154691006","Hypoglycaemia","E16.2","Hypoglycaemia, unspecified"
"306","66694000","Hypoglycaemia","E16.2","Hypoglycaemia, unspecified"
"307","66694000","Hypoglycaemia","E16.2","Hypoglycaemia, unspecified"
"308","66694000","Hypoglycaemia","E16.2","Hypoglycaemia, unspecified"
"309","302866003","Hypoglycaemia","E16.2","Hypoglycaemia, unspecified"
"310","302866003","Hypoglycaemia","E16.2","Hypoglycaemia, unspecified"
"311","302866003","Hypoglycaemia","E16.2","Hypoglycaemia, unspecified"
"312","642831000000104","Hypoglycaemia unspecified","E16.2","Hypoglycaemia, unspecified"
"313","642831000000104","Hypoglycaemia unspecified","E16.2","Hypoglycaemia, unspecified"
"314","642831000000104","Hypoglycaemia unspecified","E16.2","Hypoglycaemia, unspecified"
"315","154693009","Hypoglycaemia unspecified","E16.2","Hypoglycaemia, unspecified"
"316","154693009","Hypoglycaemia unspecified","E16.2","Hypoglycaemia, unspecified"
"317","154693009","Hypoglycaemia unspecified","E16.2","Hypoglycaemia, unspecified"
"318","190433001","Hypoglycaemia unspecified","E16.2","Hypoglycaemia, unspecified"
"319","190433001","Hypoglycaemia unspecified","E16.2","Hypoglycaemia, unspecified"
"320","190433001","Hypoglycaemia unspecified","E16.2","Hypoglycaemia, unspecified"
"321","642821000000101","Hypoglycaemia unspecified NOS","E16.2","Hypoglycaemia, unspecified"
"322","642821000000101","Hypoglycaemia unspecified NOS","E16.2","Hypoglycaemia, unspecified"
"323","642821000000101","Hypoglycaemia unspecified NOS","E16.2","Hypoglycaemia, unspecified"
"324","190436009","Hypoglycaemia unspecified NOS","E16.2","Hypoglycaemia, unspecified"
"325","190436009","Hypoglycaemia unspecified NOS","E16.2","Hypoglycaemia, unspecified"
"326","190436009","Hypoglycaemia unspecified NOS","E16.2","Hypoglycaemia, unspecified"
"327","409811000000108","[X]Hypersensitivity pneumonitis due to other organic dusts","J18.9","Pneumonia, unspecified"
"328","412891000000108","[X]Pneumonitis due to inhalation of other solids and liquids","J18.9","Pneumonia, unspecified"
"329","705161000000105","Chlamydial pneumonitis in all species except pig","J18.9","Pneumonia, unspecified"
"330","21189004","Chlamydial pneumonitis in all species except pig","J18.9","Pneumonia, unspecified"
"331","60363000","Pneumonia","J18.8","Pneumonia, unspecified"
"332","205237003","Pneumonitis","J18.9","Pneumonia, unspecified"
"333","636521000000103","Pneumonitis due to inhalation of other solid or liquid","J18.9","Pneumonia, unspecified"
"334","196041004","Pneumonitis due to inhalation of other solid or liquid","J18.9","Pneumonia, unspecified"
"335","633641000000104","Pneumonitis due to inhalation of solid or liquid NOS","J18.9","Pneumonia, unspecified"
"336","196043001","Pneumonitis due to inhalation of solid or liquid NOS","J18.9","Pneumonia, unspecified"
"337","196042006","Pneumonitis due to inhalation of solid or liquid NOS","J18.9","Pneumonia, unspecified"
"338","83966006","Hypothermia due to cold environment","T68.X","Hypothermia"
"340","190322003","Diabetes mellitus: [juvenile type, with no mention of complication] or [insulin dependent]","E10.9","Type 1 diabetes mellitus without complications"
"341","154673001","Diabetes mellitus: [juvenile] or [insulin dependent]","E10.9","Type 1 diabetes mellitus without complications"
"342","267469001","Diabetes mellitus: [juvenile] or [insulin dependent]","E10.9","Type 1 diabetes mellitus without complications"
"343","46635009","Type 1 diabetes mellitus","E10.9","Type 1 diabetes mellitus without complications"
"344","43521000000100","Type I diabetes mellitus","E10.9","Type 1 diabetes mellitus without complications"
"345","50201000000100","Type I diabetes mellitus","E10.9","Type 1 diabetes mellitus without complications"
"346","190362004","Type I diabetes mellitus","E10.9","Type 1 diabetes mellitus without complications"
"347","47481000000105","Type I diabetes mellitus","E10.9","Type 1 diabetes mellitus without complications"
"348","266292008","(Pulmonary embolism) or (pulmonary infarct)","I26.9","Pulmonary embolism without mention of acute cor pulmonale"
"349","155326007","(Pulmonary embolism) or (pulmonary infarct)","I26.9","Pulmonary embolism without mention of acute cor pulmonale"
"350","194882001","(Pulmonary embolus) or (pulmonary infarction)","I26.9","Pulmonary embolism without mention of acute cor pulmonale"
"351","59282003","Pulmonary embolism","I26.9","Pulmonary embolism without mention of acute cor pulmonale"
"352","25924004","Calculus of gallbladder with cholecystitis","K80.0","Calculus of gallbladder with acute cholecystitis"
"353","25924004","Calculus of gallbladder with cholecystitis","K80.0","Calculus of gallbladder with acute cholecystitis"
"354","267717005","(Retinal vascular occlusion) or (amaurosis fugax) or (retinal thrombosis)","G45.3","Amaurosis fugax"
"355","155111000","(Retinal vascular occlusion) or (amaurosis fugax) or (retinal thrombosis)","G45.3","Amaurosis fugax"
"356","88032003","Amaurosis fugax","G45.3","Amaurosis fugax"
"357","157805001","(Injury/poisoning NOS) or (complications of treatment)","T65.9","Toxic effect of unspecified substance"
