,target_system,target_version,target_code,target_description,concept
105,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,195889001,Legionella pneumonia (disorder),Influencia and pneumonia
106,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,191148006,"Folate deficiency anemia, drug-induced (disorder)",Iron-deficiency anaemia
107,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,186626002,Acute hepatitis B with delta-agent (coinfection) without hepatic coma (disorder),Other vaccinepreventable diseases
108,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,36975000,Chronic duodenal ulcer with hemorrhage AND perforation (disorder),Perforated/bleeding ulcer
109,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,35265002,Mallory-Weiss syndrome (disorder),Perforated/bleeding ulcer
110,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,266071000,Intestinal infectious disease (disorder),Dehydration and gastroenteritis
111,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,1089971000119108,Cyst of structure of internal part of mouth (disorder),Dental conditions
112,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,190331003,Hyperosmolar coma due to type 2 diabetes mellitus (disorder),Diabetes complications
113,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,195896004,Pneumonia caused by pleuropneumonia-like organism (disorder),Influencia and pneumonia
114,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,75116005,Ornithosis (disorder),Influencia and pneumonia
115,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,85649008,Megaloblastic anemia due to folate deficiency (disorder),Iron-deficiency anaemia
116,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,186639003,Chronic viral hepatitis B without delta-agent (disorder),Other vaccinepreventable diseases
117,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,12274003,Acute peptic ulcer with hemorrhage (disorder),Perforated/bleeding ulcer
118,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,385041000000108,Diabetes mellitus with multiple complications (disorder),Diabetes complications
119,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,278516003,Lobar pneumonia (disorder),Influencia and pneumonia
120,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,85649008,Megaloblastic anemia due to folate deficiency (disorder),Iron-deficiency anaemia
121,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,186639003,Chronic viral hepatitis B without delta-agent (disorder),Other vaccinepreventable diseases
122,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,111353003,Acute peptic ulcer with hemorrhage and perforation (disorder),Perforated/bleeding ulcer
123,,,,,Iron-deficiency anaemia
124,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,49232000,Chronic peptic ulcer with hemorrhage (disorder),Perforated/bleeding ulcer
125,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,417279003,Hemoglobin S sickling disorder with crisis (disorder),Iron-deficiency anaemia
126,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,192643004,Haemophilus meningitis (disorder),Other vaccinepreventable diseases
127,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,61300005,Chronic peptic ulcer with hemorrhage AND perforation (disorder),Perforated/bleeding ulcer
128,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,55995005,Hereditary spherocytosis (disorder),Iron-deficiency anaemia
129,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,19431000,Arthritis due to rubella (disorder),Other vaccinepreventable diseases
130,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,63954007,Acute gastrojejunal ulcer with hemorrhage (disorder),Perforated/bleeding ulcer
131,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,191169008,Hereditary elliptocytosis (disorder),Iron-deficiency anaemia
132,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,81387001,Acute gastrojejunal ulcer with hemorrhage and perforation (disorder),Perforated/bleeding ulcer
133,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,309742004,Drug-induced autoimmune hemolytic anemia (disorder),Iron-deficiency anaemia
134,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,62838000,Chronic gastrojejunal ulcer with hemorrhage (disorder),Perforated/bleeding ulcer
135,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,4854004,Acquired hemolytic anemia (disorder),Iron-deficiency anaemia
136,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,191255003,Transient acquired pure red cell aplasia (disorder),Iron-deficiency anaemia
137,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,234376007,Acquired red cell aplasia (disorder),Iron-deficiency anaemia
138,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,234376007,Acquired red cell aplasia (disorder),Iron-deficiency anaemia
139,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,28975000,Constitutional aplastic anemia (disorder),Iron-deficiency anaemia
140,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,267527002,Aplastic anemia due to drugs (disorder),Iron-deficiency anaemia
141,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,41841004,Sideroblastic anemia (disorder),Iron-deficiency anaemia
142,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,191261000,Secondary sideroblastic anemia due to disease (disorder),Iron-deficiency anaemia
143,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,52951008,Congenital dyserythropoietic anemia (disorder),Iron-deficiency anaemia
144,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,646731000000106,Other specified excision of organ NOC (procedure),Iron-deficiency anaemia
145,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,9094211000001106,Balanced Salt Solution irrigation solution (A A H Pharmaceuticals Ltd) (product),Iron-deficiency anaemia
146,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,191262007,Secondary sideroblastic anemia caused by drugs and toxins (disorder),Iron-deficiency anaemia
147,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,62838000,Chronic gastrojejunal ulcer with hemorrhage (disorder),Perforated/bleeding ulcer
148,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,646731000000106,Other specified excision of organ NOC (procedure),Iron-deficiency anaemia
149,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,81711008,Hemolytic anemia caused by drugs (disorder),Iron-deficiency anaemia
150,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,413603009,Autoimmune hemolytic anemia (disorder),Iron-deficiency anaemia
151,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,267779003,Cellulitis and abscess of neck (disorder),Cellulitis
152,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,200655000,Cellulitis and abscess of trunk (disorder),Cellulitis
153,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,200676005,Cellulitis and abscess of buttock (disorder),Cellulitis
154,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,472820000,Abnormal ventriculoarterial connection with usual origin of left coronary artery from aortic sinus to right of nonfacing aortic sinus and usual origin of right coronary artery from aortic sinus to left of nonfacing aortic sinus (disorder),Iron-deficiency anaemia
155,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,237934001,Transcobalamin II deficiency (disorder),Iron-deficiency anaemia
156,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,190368000,Type I diabetes mellitus with ulcer (disorder),Diabetes complications
157,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,190407009,Malnutrition-related diabetes mellitus with renal complications (disorder),Diabetes complications
158,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,190368000,Type I diabetes mellitus with ulcer (disorder),Diabetes complications
159,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,190368000,Type I diabetes mellitus with ulcer (disorder),Diabetes complications
160,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,190410002,Malnutrition-related diabetes mellitus with peripheral circulatory complications (disorder),Diabetes complications
161,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,190368000,Type I diabetes mellitus with ulcer (disorder),Diabetes complications
162,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,385041000000108,Diabetes mellitus with multiple complications (disorder),Diabetes complications
163,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,190368000,Type I diabetes mellitus with ulcer (disorder),Diabetes complications
164,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,190407009,Malnutrition-related diabetes mellitus with renal complications (disorder),Diabetes complications
165,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,190368000,Type I diabetes mellitus with ulcer (disorder),Diabetes complications
166,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,190368000,Type I diabetes mellitus with ulcer (disorder),Diabetes complications
167,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,190410002,Malnutrition-related diabetes mellitus with peripheral circulatory complications (disorder),Diabetes complications
168,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,190368000,Type I diabetes mellitus with ulcer (disorder),Diabetes complications
169,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,385041000000108,Diabetes mellitus with multiple complications (disorder),Diabetes complications
170,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,190406000,Ketoacidosis due to malnutrition related diabetes mellitus (disorder),Diabetes complications
171,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,190407009,Malnutrition-related diabetes mellitus with renal complications (disorder),Diabetes complications
172,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,190412005,Malnutrition-related diabetes mellitus without complications (disorder),Diabetes complications
173,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,190412005,Malnutrition-related diabetes mellitus without complications (disorder),Diabetes complications
174,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,190410002,Malnutrition-related diabetes mellitus with peripheral circulatory complications (disorder),Diabetes complications
175,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,190412005,Malnutrition-related diabetes mellitus without complications (disorder),Diabetes complications
176,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,190412005,Malnutrition-related diabetes mellitus without complications (disorder),Diabetes complications
177,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,420422005,Ketoacidosis due to diabetes mellitus (disorder),Diabetes complications
178,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,190407009,Malnutrition-related diabetes mellitus with renal complications (disorder),Diabetes complications
179,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,385041000000108,Diabetes mellitus with multiple complications (disorder),Diabetes complications
180,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,385041000000108,Diabetes mellitus with multiple complications (disorder),Diabetes complications
181,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,190410002,Malnutrition-related diabetes mellitus with peripheral circulatory complications (disorder),Diabetes complications
182,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,385041000000108,Diabetes mellitus with multiple complications (disorder),Diabetes complications
183,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,385041000000108,Diabetes mellitus with multiple complications (disorder),Diabetes complications
184,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,420422005,Ketoacidosis due to diabetes mellitus (disorder),Diabetes complications
185,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,190407009,Malnutrition-related diabetes mellitus with renal complications (disorder),Diabetes complications
186,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,385041000000108,Diabetes mellitus with multiple complications (disorder),Diabetes complications
187,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,385041000000108,Diabetes mellitus with multiple complications (disorder),Diabetes complications
188,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,190410002,Malnutrition-related diabetes mellitus with peripheral circulatory complications (disorder),Diabetes complications
189,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,385041000000108,Diabetes mellitus with multiple complications (disorder),Diabetes complications
190,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,385041000000108,Diabetes mellitus with multiple complications (disorder),Diabetes complications
191,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,19850005,Acute gastric ulcer with perforation (disorder),Perforated/bleeding ulcer
192,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,61347001,Acute duodenal ulcer with perforation (disorder),Perforated/bleeding ulcer
193,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,79118000,Acute peptic ulcer with perforation (disorder),Perforated/bleeding ulcer
194,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,66636001,Acute gastrojejunal ulcer with perforation (disorder),Perforated/bleeding ulcer
195,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,31301004,Chronic gastric ulcer with perforation (disorder),Perforated/bleeding ulcer
196,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,49916007,Chronic duodenal ulcer with perforation (disorder),Perforated/bleeding ulcer
197,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,3483000,Chronic peptic ulcer with perforation (disorder),Perforated/bleeding ulcer
198,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,2807004,Chronic gastrojejunal ulcer with perforation (disorder),Perforated/bleeding ulcer
199,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,6456007,Supraventricular tachycardia (disorder),Atrial fibrillation and flutter 
200,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,14760008,Constipation (finding),Constipation
201,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,224959009,Normal physiological development (finding),Failure to thrive
202,http://snomed.info/sct,http://snomed.info/sct/83821000000107/version/20221123,5913000,Fracture of neck of femur (disorder),Fractured proximal femur
